name,module_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff,margin_score
TUBA1A,1,327,171.8106164699999,12.68868934814499,0.1585523723757528,0.8854068517684937
STMN1,1,329,170.34591362999987,10.938694763965216,0.15809177848617392,0.8769895434379578
TUBB2B,1,308,159.51479200999998,10.530441555588224,0.17553619019417066,0.8497647047042847
STMN2,1,309,160.11478169,10.384784252270938,0.17263480855713867,0.8528770208358765
AC092143.1,1,275,141.51055347999997,8.830950157293664,0.21515593895155938,0.8981134295463562
TUBB2A,1,260,132.86029243000002,7.396026338165043,0.2327888327888328,0.9041537642478943
MLLT11,1,266,135.56376696000007,7.118571031597769,0.23058589870903676,0.9075603485107422
RTN1,1,267,135.29839868000002,6.731850130112884,0.22491622314212498,0.8148084878921509
NNAT,1,238,122.23454345000002,6.678560109447908,0.2580931106619863,0.9586384296417236
BASP1,1,244,124.64704764999995,6.382608411195313,0.26135060379140523,0.930438220500946
GAP43,1,245,124.56379885,6.281841345215835,0.25925058548009366,0.6472080945968628
UCHL1,1,256,129.43122138,5.914769708765741,0.23949142156862746,0.6256551146507263
MARCKSL1,1,242,122.91354840999998,5.516313170591399,0.26737766194574947,0.9167788624763489
INA,1,200,101.41491411999996,4.589424329851678,0.3482914572864322,0.8755109310150146
CALM2,1,255,127.5258624499999,4.5230582952614,0.23779527559055116,0.7873128652572632
CRMP1,1,190,96.79443543000006,4.240151114751929,0.38629908103592314,0.9836273789405823
CD24,1,188,94.17198759,3.851611256795638,0.39532370007964496,0.9854052066802979
MAP1B,1,186,94.25865335,3.7628474601616513,0.39581517000871835,0.9777927994728088
JPT1,1,184,91.76839707000002,3.13851487325153,0.4126277025421715,0.9768578410148621
ACTG1,1,238,115.97776929000007,2.9499393413977435,0.2590859128461511,0.695374071598053
TUBB3,1,156,77.75585858000001,2.9239341604404245,0.50479735318445,0.9984079599380493
C4orf48,1,181,89.34971369000003,2.8779435299114824,0.4166973603437692,0.9419062733650208
PCSK1N,1,174,85.95089210999998,2.82792174244026,0.4254866786260049,0.9878212809562683
TTTY14,1,160,78.87354071,2.644749392540321,0.4962264150943397,0.9980509877204895
