name,module_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff,margin_score
STMN2,1,378,202.0160259899999,16.60744265566388,0.20098802857423548,0.8974789381027222
TUBB2B,1,375,198.5985968600001,14.292208559148213,0.2157433155080214,0.5794764757156372
AC092143.1,1,342,182.57073088999996,13.969158724427013,0.24990139081819898,0.6977992653846741
TUBA1A,1,358,186.55143048000002,11.48107395498616,0.2319296433657262,0.6193935871124268
RTN1,1,335,174.89063374999998,11.017771868306363,0.24457949772097598,0.9789832830429077
MAP2,1,331,173.5797486800001,10.984358530949912,0.26285818914217707,0.698691189289093
NNAT,1,341,177.07043949999994,10.24949219262412,0.24890460583060203,0.8359797596931458
INA,1,321,167.46375473999998,10.102293949592307,0.26213006230529595,0.9766225814819336
UCHL1,1,327,170.35653398999978,9.901862044752168,0.26264047578844674,0.9297454357147217
CRMP1,1,312,162.81055118999996,9.767508511428714,0.2919037018715475,0.8328559398651123
MLLT11,1,316,164.35301251999996,9.688176974397171,0.28886879646373315,0.8296680450439453
DCX,1,295,154.75665131999983,9.09871429178204,0.3137092124985587,0.7201080918312073
ELAVL3,1,304,157.58694135999988,9.020394262347,0.3016762202536043,0.851771891117096
STMN1,1,343,174.68755081,8.216523662084684,0.25159838371438803,0.5193068981170654
PCSK1N,1,294,152.07739078999995,8.102495853832204,0.29750876459798936,0.9779487252235413
MAP1B,1,304,155.73840689000005,7.805277446478678,0.3056930693069307,0.7044289112091064
NSG2,1,281,146.25298428999997,7.798686897607018,0.3297407219115404,0.9734845757484436
GAP43,1,281,145.76784694999986,7.69417987074669,0.33413828164717846,0.9740412831306458
SEPT3,1,280,145.1314033700001,7.60627427630224,0.34733742959549413,0.8522090911865234
GPM6A,1,286,146.88145721,7.091853328385032,0.3268065268065268,0.7545351386070251
TUBB2A,1,266,136.6721976400001,6.717649660236488,0.3652149241027096,0.9685290455818176
SBK1,1,276,141.68081610999997,6.615061317280376,0.3452437417654809,0.9446547627449036
MARCKSL1,1,310,155.23960168000002,5.58430753845915,0.2763127675122664,0.20047329366207123
CD24,1,268,135.25863143000007,5.497992427684161,0.37341382972776566,0.829805314540863
NSG1,1,261,132.06702410999992,5.243901919457412,0.3544061302681992,0.8769046664237976
STMN4,1,247,125.5682760100001,5.199712805165339,0.39949310424278334,0.9786396026611328
SOX4,1,248,124.72754734000006,4.58242522994505,0.38866396761133604,0.8921066522598267
CDK5R1,1,235,118.76616673000002,4.554244712613905,0.44939079832696854,0.9274590015411377
RAB3A,1,230,116.77016880000002,4.51147059020338,0.45513575090184166,0.9927502870559692
BASP1,1,248,123.95162381999998,4.386856490492236,0.41445735927909105,0.7075836062431335
SOX11,1,236,118.30220272000001,4.303640528986246,0.40789758384421204,0.336865097284317
FEZ1,1,228,114.95097346999994,4.291363421371865,0.47291135327305045,0.7635901570320129
DPYSL5,1,231,116.24355227000005,4.214278531059909,0.4629776021080369,0.8534631133079529
C4orf48,1,235,117.65216525,4.2026897627435655,0.4487361338425168,0.8612907528877258
BEX1,1,229,115.01635900000007,4.025835119040208,0.4304374473301157,0.4904493987560272
CELF5,1,221,111.23422606000004,3.9102556518658793,0.4852324146441794,0.9843718409538269
APLP1,1,207,104.81571610999997,3.7051417820174475,0.5230054875474884,0.9979093074798584
GDAP1L1,1,200,101.33508380000005,3.656910970849638,0.5471859296482412,0.9680649042129517
KIF5C,1,202,101.53205435999985,3.343201027766648,0.5476577508497118,0.9481374621391296
TAGLN3,1,190,95.21965600999997,3.0354438816258926,0.5548315232525759,0.7066050171852112
TUBB3,1,186,92.59495698,2.973709667611114,0.6033129904097646,0.9369767308235168
