source,target,PCC,Rescaled_PCC
AC002094.3,A1BG,0.5313925,0.010501662
AC002094.3,A1CF,0.43524367,0.00020266988
AC002094.3,ABCB10,0.41520807,1.6284263e-05
AC005943.1,AC004086.1,0.5003378,0.004676701
AC007969.1,AC004086.1,0.53501827,0.011395246
AC010197.2,AC004086.1,0.4709338,0.0016523637
AC010422.8,AC004086.1,0.41492355,1.5387284e-05
AC011481.3,AC002094.3,0.5287074,0.009870894
AC016739.1,AC004086.1,0.4192987,3.3275956e-05
AC024592.3,AC004086.1,0.4989373,0.0044835955
AC027682.3,AC027682.2,0.5179785,0.0076024677
AC068724.4,AC002094.3,0.43223765,0.00015510872
AC073861.1,AC004086.1,0.5544823,0.017067984
AC092078.2,AC092078.1,0.47915828,0.0022963346
AC092143.1,AC003112.1,0.42316985,5.758583e-05
AC092143.1,AC004158.1,0.49393055,0.0038367782
AC092143.1,AC091167.2,0.4282351,0.00010421124
AC093512.2,AC004086.1,0.57492954,0.024781955
AC093512.2,AC073861.1,0.40157798,1.8190523e-08
AC093899.2,AC004086.1,0.56998825,0.022740647
AC093899.2,AC020909.3,0.41039088,5.194012e-06
AC093899.2,AC073861.1,0.42804444,0.0001021142
AC093899.2,AC093512.2,0.5332342,0.010949469
AC104389.5,AC104389.4,0.6302739,0.05653016
AC114737.1,AC005522.1,0.50433356,0.005257971
AC135178.2,AC004086.1,0.8186249,0.33964196
AC135178.2,AC005943.1,0.48214954,0.0025666202
AC135178.2,AC007969.1,0.5262426,0.009314597
AC135178.2,AC010197.2,0.44611296,0.00045395736
AC135178.2,AC016739.1,0.41225663,8.524299e-06
AC135178.2,AC024592.3,0.47841418,0.002232183
AC135178.2,AC073861.1,0.54934484,0.015421151
AC135178.2,AC093512.2,0.5534935,0.016742337
AC135178.2,AC093899.2,0.567215,0.02164572
ACADSB,A1BG,0.43490785,0.00019693159
ACADSB,AC002094.3,0.5922781,0.032910593
ACADSB,AC011481.3,0.4383346,0.000260807
ACSL4,A1BG,0.48097,0.0024576413
ACSL4,A1CF,0.40048772,5.370868e-10
ACSL4,AC002094.3,0.6562846,0.07793159
ACSL4,AC011481.3,0.49264053,0.0036808583
ACSL4,ACADSB,0.5423971,0.013367477
ACTA1,AC004086.1,0.6071662,0.041162588
ACTA1,AC006453.2,0.43403238,0.00018248323
ACTA1,AC020909.3,0.44383973,0.00039007637
ACTA1,AC073861.1,0.46406555,0.001217362
ACTA1,AC093512.2,0.59984636,0.03695174
ACTA1,AC093899.2,0.78057355,0.255189
ACTA1,AC135178.2,0.59831685,0.03610979
ACTB,AC004086.1,0.519945,0.007989008
ACTB,AC005943.1,0.42300645,5.6376015e-05
ACTB,AC010422.8,0.42926145,0.000115993396
ACTB,AC135178.2,0.48237097,0.0025874302
ACTC1,AC004086.1,0.6201251,0.04938044
ACTC1,AC006453.2,0.4293191,0.00011668054
ACTC1,AC020909.3,0.47531354,0.0019777222
ACTC1,AC073861.1,0.48015425,0.002384107
ACTC1,AC093512.2,0.5882865,0.030903231
ACTC1,AC093899.2,0.77430546,0.24278659
ACTC1,AC135178.2,0.61016387,0.042975444
ACTC1,ACTA1,0.8888464,0.54083323
ACTG1,AC004086.1,0.5906131,0.032063033
ACTG1,AC005943.1,0.42802775,0.00010193202
ACTG1,AC010197.2,0.40579844,9.0256253e-07
ACTG1,AC010422.8,0.44135258,0.0003273812
ACTG1,AC024592.3,0.4086508,2.997174e-06
ACTG1,AC091167.2,0.40757823,2.0148766e-06
ACTG1,AC135178.2,0.5522985,0.016354335
ACTG1,ACTB,0.7407378,0.18315008
ACTG2,ACTA2,0.49698055,0.0042227954
ACTL6B,AC092143.1,0.58160836,0.027730243
ACTN2,AC004086.1,0.5091524,0.0060206894
ACTN2,AC093512.2,0.49597836,0.0040932284
ACTN2,AC093899.2,0.6534856,0.075406015
ACTN2,AC135178.2,0.50098383,0.004767621
ACTN2,ACTA1,0.74123377,0.18395099
ACTN2,ACTC1,0.7616573,0.21899682
ACY1,ABHD14A-ACY1,0.413141,1.0505872e-05
ADGRG1,AC092143.1,0.43816638,0.00025738834
ADH1A,A1BG,0.4079185,2.298667e-06
ADH1A,AC002094.3,0.5602935,0.019067502
ADH1A,AC011481.3,0.4119681,7.936382e-06
ADH1A,ACADSB,0.45513096,0.0007757697
ADH1A,ACSL4,0.50879043,0.0059609883
ADH6,AC002094.3,0.45378938,0.000720503
ADH6,ACSL4,0.41873896,3.0463678e-05
ADPRHL1,ACTA1,0.42075235,4.1375904e-05
ADPRHL1,ACTC1,0.43413255,0.00018409925
AFP,A1BG,0.5782209,0.02620729
AFP,A1CF,0.48382342,0.002726731
AFP,A2M,0.42611715,8.24752e-05
AFP,ABCB10,0.452394,0.00066587236
AFP,AC002094.3,0.76496583,0.22506234
AFP,AC011481.3,0.60281885,0.03862523
AFP,AC024267.1,0.4191246,3.238345e-05
AFP,AC068724.4,0.47066003,0.0016333059
AFP,AC100835.2,0.4194837,3.424203e-05
AFP,AC104389.5,0.49228242,0.003638338
AFP,AC115619.1,0.41728434,2.3905845e-05
AFP,ACADSB,0.63989705,0.06391765
AFP,ACSL4,0.7217117,0.1541511
AFP,ACSS2,0.40371567,2.3749557e-07
AFP,ADH1A,0.60829496,0.041839115
AFP,ADH6,0.49772748,0.0043211197
AGBL1,ACTA1,0.40700155,1.5890174e-06
AGBL1,ACTC1,0.4025604,7.770934e-08
AGL,AC093899.2,0.4158331,1.8375635e-05
AGL,ACTA1,0.46410373,0.0012195396
AGL,ACTC1,0.4626473,0.0011382898
AGT,A1BG,0.5728909,0.023925576
AGT,A1CF,0.4678306,0.0014448509
AGT,A2M,0.42697293,9.085109e-05
AGT,ABCB10,0.4463465,0.0004608893
AGT,AC002094.3,0.7797897,0.25361544
AGT,AC011481.3,0.5812364,0.027560217
AGT,AC068724.4,0.46255407,0.001133216
AGT,AC100835.2,0.42530608,7.5027514e-05
AGT,AC104389.5,0.4093646,3.8020219e-06
AGT,AC115619.1,0.41206715,8.13503e-06
AGT,ACADSB,0.6365608,0.06128787
AGT,ACSL4,0.7105966,0.13871911
AGT,ACSS2,0.41052416,5.396445e-06
AGT,ADH1A,0.600335,0.03722346
AGT,ADH6,0.48930934,0.003297895
AGT,AFP,0.85251606,0.42899096
AGXT,AC002094.3,0.4755916,0.0019997084
AGXT,ACSL4,0.43201786,0.00015195778
AGXT,AFP,0.5028323,0.0050342483
AGXT,AGT,0.51295394,0.0066719116
AHSG,A1BG,0.59781903,0.03583854
AHSG,A1CF,0.49469557,0.0039312914
AHSG,A2M,0.44763032,0.0005002608
AHSG,ABCB10,0.47032556,0.0016102216
AHSG,AC002094.3,0.80403394,0.30535123
AHSG,AC011481.3,0.6118802,0.044036947
AHSG,AC024267.1,0.42411542,6.492774e-05
AHSG,AC068724.4,0.4864183,0.0029878817
AHSG,AC100835.2,0.44350266,0.000381148
AHSG,AC104389.5,0.4500567,0.0005806745
AHSG,AC115619.1,0.43201742,0.00015195142
AHSG,ACAA1,0.41697705,2.265334e-05
AHSG,ACADSB,0.66508436,0.08623796
AHSG,ACSL4,0.7467152,0.19295889
AHSG,ACSS2,0.42413577,6.50923e-05
AHSG,ADH1A,0.6269757,0.054135773
AHSG,ADH6,0.51373386,0.0068110726
AHSG,AFP,0.93097425,0.69305325
AHSG,AGT,0.8799092,0.5117095
AHSG,AGXT,0.52877706,0.0098869335
AHSP,A1BG,0.5728918,0.023925947
AHSP,A1CF,0.47489634,0.0019450372
AHSP,A2M,0.44458023,0.0004101784
AHSP,ABCB10,0.4804494,0.0024105418
AHSP,AC002094.3,0.7842086,0.26257136
AHSP,AC011481.3,0.59111184,0.032315355
AHSP,AC024267.1,0.4187101,3.0323195e-05
AHSP,AC068724.4,0.49973983,0.004593587
AHSP,AC100835.2,0.45095336,0.00061244157
AHSP,AC104389.5,0.5289428,0.009925162
AHSP,AC115619.1,0.41373676,1.2000482e-05
AHSP,ACAA1,0.40980196,4.359977e-06
AHSP,ACADSB,0.64539146,0.06841077
AHSP,ACSL4,0.7200241,0.15173796
AHSP,ACSS2,0.4141123,1.3011849e-05
AHSP,ADH1A,0.6062263,0.0406049
AHSP,ADH6,0.4976592,0.0043120687
AHSP,AFP,0.86721045,0.47215414
AHSP,AGT,0.84952563,0.42054218
AHSP,AGXT,0.5173238,0.007476605
AHSP,AHSG,0.8949871,0.5614717
AK1,AC004086.1,0.4575661,0.0008831749
AK1,AC093512.2,0.44777682,0.0005048913
AK1,AC093899.2,0.51536864,0.0071090157
AK1,AC135178.2,0.44650197,0.00046554333
AK1,ACTA1,0.5870116,0.030279707
AK1,ACTC1,0.5641618,0.020481523
AK1,ACTN2,0.47637615,0.0020626201
AKR1C1,AC002094.3,0.5239993,0.008826806
AKR1C1,ACADSB,0.4331218,0.00016822391
AKR1C1,ACSL4,0.4877913,0.0031325687
AKR1C1,ADH1A,0.40480724,5.143183e-07
AKR1C1,AFP,0.56047285,0.019131577
AKR1C1,AGT,0.5682251,0.022040347
AKR1C1,AHSG,0.58901876,0.03126518
AKR1C1,AHSP,0.57285374,0.023910161
AL031847.2,AC004086.1,0.64093953,0.06475455
AL031847.2,AC007969.1,0.4115569,7.1461077e-06
AL031847.2,AC073861.1,0.43173906,0.00014802266
AL031847.2,AC093512.2,0.429498,0.00011882918
AL031847.2,AC093899.2,0.44973138,0.0005694264
AL031847.2,AC135178.2,0.6341123,0.059404436
AL031847.2,ACTA1,0.47123376,0.0016734147
AL031847.2,ACTC1,0.4799862,0.0023691421
AL031847.2,ACTG1,0.4372268,0.00023884336
AL117190.1,AC093899.2,0.4279433,0.00010101329
AL117190.1,ACTA1,0.45094872,0.0006122739
AL117190.1,ACTC1,0.46710977,0.0013992756
AL117190.1,ACTN2,0.41015568,4.849231e-06
AL122020.1,AC004086.1,0.6321014,0.057886798
AL122020.1,AC007969.1,0.4092899,3.7117438e-06
AL122020.1,AC073861.1,0.47211248,0.0017361103
AL122020.1,AC093512.2,0.45338866,0.0007045198
AL122020.1,AC093899.2,0.4839847,0.0027425012
AL122020.1,AC135178.2,0.62707835,0.054209247
AL122020.1,ACTA1,0.52342784,0.008705336
AL122020.1,ACTC1,0.5423035,0.013341139
AL122020.1,ACTN2,0.43579248,0.00021228592
AL122020.1,AL031847.2,0.49315232,0.0037422017
AL138785.1,AC004086.1,0.41579157,1.8231472e-05
AL138785.1,AC135178.2,0.41451097,1.414603e-05
AL353803.1,AC055758.2,0.40014455,1.3980469e-11
AL356022.1,AC010105.1,0.48995376,0.003369799
AL365205.1,AC004086.1,0.43413746,0.00018417882
AL365205.1,AC135178.2,0.4145164,1.41618975e-05
AL365357.1,AC004086.1,0.56967306,0.02261439
AL365357.1,AC135178.2,0.5591894,0.018676197
AL365357.1,ACTA1,0.4065376,1.2935956e-06
AL365357.1,ACTC1,0.41185576,7.714955e-06
AL365357.1,AL031847.2,0.43165028,0.00014678399
AL365357.1,AL122020.1,0.43750277,0.00024419458
AL445524.2,AL445524.1,0.4005198,6.5014566e-10
AL590867.2,AC004086.1,0.48343125,0.002688638
AL590867.2,AC135178.2,0.47807494,0.0022033376
AL591846.1,AC004086.1,0.56271136,0.019943425
AL591846.1,AC135178.2,0.5533423,0.016692903
AL591846.1,ACTA1,0.4120849,8.171005e-06
AL591846.1,ACTC1,0.41561073,1.761227e-05
AL591846.1,AL031847.2,0.42505792,7.284183e-05
AL591846.1,AL122020.1,0.43193832,0.00015082805
AL591846.1,AL365357.1,0.44545183,0.00043471044
ALAD,AC002094.3,0.46191797,0.0010989961
ALAD,ACSL4,0.43145308,0.00014405735
ALAD,AFP,0.4946397,0.003924336
ALAD,AGT,0.49741217,0.004279429
ALAD,AHSG,0.5184238,0.0076888795
ALAD,AHSP,0.5289277,0.009921667
ALAS2,AC002094.3,0.5426345,0.013434446
ALAS2,AC104389.5,0.6464172,0.06927224
ALAS2,ACADSB,0.44242018,0.00035339766
ALAS2,ACSL4,0.48621997,0.0029673572
ALAS2,ADH1A,0.4154811,1.7177119e-05
ALAS2,AFP,0.5776664,0.025963433
ALAS2,AGT,0.5808676,0.027392294
ALAS2,AHSG,0.6060765,0.04051645
ALAS2,AHSP,0.70162433,0.1270414
ALB,A1BG,0.5497394,0.015543706
ALB,A1CF,0.46489537,0.0012652815
ALB,A2M,0.41849133,2.9271869e-05
ALB,ABCB10,0.4310576,0.00013869147
ALB,AC002094.3,0.7250972,0.15906905
ALB,AC011481.3,0.5801859,0.027083734
ALB,AC024267.1,0.40350747,1.9976815e-07
ALB,AC068724.4,0.4487496,0.00053636363
ALB,AC104389.5,0.4957014,0.0040578977
ALB,AC115619.1,0.4005341,7.053152e-10
ALB,ACADSB,0.61095333,0.043461565
ALB,ACSL4,0.69201833,0.11528599
ALB,ADH1A,0.58104795,0.027474327
ALB,ADH6,0.47718495,0.0021288448
ALB,AFP,0.96753067,0.8462801
ALB,AGT,0.8165091,0.33451822
ALB,AGXT,0.47649804,0.0020725117
ALB,AHSG,0.9041268,0.59315133
ALB,AHSP,0.8323358,0.37411907
ALB,AKR1C1,0.53142464,0.010509367
ALB,ALAD,0.47062507,0.0016308828
ALB,ALAS2,0.54682183,0.014652715
ALDH1A1,AFP,0.4375729,0.000245567
ALDH1A1,AGT,0.42454135,6.84292e-05
ALDH1A1,AHSG,0.44720834,0.00048708226
ALDH1A1,AHSP,0.4337542,0.00017804495
ALDH1A1,ALB,0.42505902,7.285144e-05
ALDH1L1,AHSG,0.40248686,7.120288e-08
ALDH4A1,AFP,0.42420083,6.562008e-05
ALDH4A1,AGT,0.421811,4.8036734e-05
ALDH4A1,AHSG,0.44062486,0.00031039998
ALDH4A1,AHSP,0.42643678,8.554048e-05
ALDH4A1,ALB,0.40308896,1.3645179e-07
ALDOB,A1BG,0.5408115,0.012925886
ALDOB,A1CF,0.4472203,0.00048745237
ALDOB,ABCB10,0.42327103,5.8343536e-05
ALDOB,AC002094.3,0.736877,0.17699474
ALDOB,AC011481.3,0.5475879,0.014883264
ALDOB,AC068724.4,0.44060475,0.0003099391
ALDOB,AC100835.2,0.4056531,8.3637747e-07
ALDOB,ACADSB,0.60643226,0.04072667
ALDOB,ACSL4,0.67294776,0.094142295
ALDOB,ADH1A,0.56876236,0.022252202
ALDOB,ADH6,0.4654403,0.0012974242
ALDOB,AFP,0.8047061,0.30687776
ALDOB,AGT,0.7950356,0.28540057
ALDOB,AGXT,0.48552465,0.002896144
ALDOB,AHSG,0.8318087,0.37275225
ALDOB,AHSP,0.80385274,0.30494058
ALDOB,AKR1C1,0.53727573,0.011976431
ALDOB,ALAD,0.4699473,0.0015843791
ALDOB,ALAS2,0.5527718,0.01650729
ALDOB,ALB,0.7698568,0.23423241
ALDOB,ALDH1A1,0.4015573,1.748458e-08
ALKBH6,AC002116.1,0.5385178,0.012304462
ALPL,AC073611.1,0.46998513,0.0015869504
AMBP,A1BG,0.59395194,0.03377758
AMBP,A1CF,0.48194692,0.0025476743
AMBP,A2M,0.43922445,0.00027939375
AMBP,ABCB10,0.46326295,0.0011721798
AMBP,AC002094.3,0.7993549,0.294865
AMBP,AC011481.3,0.5991525,0.036568195
AMBP,AC024267.1,0.41159335,7.213933e-06
AMBP,AC068724.4,0.4789628,0.0022793652
AMBP,AC100835.2,0.44181526,0.0003384935
AMBP,AC104389.5,0.4284432,0.00010653222
AMBP,AC115619.1,0.42333198,5.880312e-05
AMBP,ACAA1,0.41164845,7.317289e-06
AMBP,ACADSB,0.6530214,0.07499251
AMBP,ACSL4,0.73112935,0.16808896
AMBP,ACSS2,0.41965118,3.513271e-05
AMBP,ADH1A,0.6165611,0.047020547
AMBP,ADH6,0.50166416,0.0048646294
AMBP,AFP,0.8889376,0.541136
AMBP,AGT,0.8700926,0.480946
AMBP,AGXT,0.526294,0.009325975
AMBP,AHSG,0.9117852,0.6205963
AMBP,AHSP,0.87868994,0.5078191
AMBP,AKR1C1,0.5845833,0.029115437
AMBP,ALAD,0.5119891,0.006502399
AMBP,ALAS2,0.59773463,0.03579269
AMBP,ALB,0.85278714,0.42976236
AMBP,ALDH1A1,0.43627292,0.00022094975
AMBP,ALDH4A1,0.43570518,0.00021073654
AMBP,ALDOB,0.8199448,0.34286472
AMER2,AC092143.1,0.46744803,0.0014205411
AMN,A1BG,0.40451065,4.2487486e-07
AMN,AC002094.3,0.5470999,0.0147361215
AMN,AC011481.3,0.40463847,4.6202828e-07
AMN,ACADSB,0.44667664,0.00047080906
AMN,ACSL4,0.4984638,0.00441953
AMN,ADH1A,0.41582865,1.8360179e-05
AMN,AFP,0.5847844,0.0292107
AMN,AGT,0.58959806,0.031553518
AMN,AHSG,0.6100096,0.04288088
AMN,AHSP,0.59249383,0.033021487
AMN,ALAS2,0.40427232,3.6102313e-07
AMN,ALB,0.55420756,0.016977085
AMN,ALDOB,0.5579363,0.018238625
AMN,AMBP,0.60961604,0.042640246
ANAPC11,AC004086.1,0.46982682,0.0015762056
ANAPC11,AC135178.2,0.44096312,0.00031821826
ANAPC11,ACTB,0.42714894,9.264126e-05
ANAPC11,ACTG1,0.43733346,0.00024090226
ANGPTL3,A1BG,0.42730406,9.423832e-05
ANGPTL3,AC002094.3,0.5868399,0.0301964
ANGPTL3,AC011481.3,0.4311953,0.00014054422
ANGPTL3,ACADSB,0.47550133,0.0019925532
ANGPTL3,ACSL4,0.53293484,0.010875835
ANGPTL3,ADH1A,0.44841382,0.0005253564
ANGPTL3,AFP,0.64008313,0.064066514
ANGPTL3,AGT,0.6302131,0.056485396
ANGPTL3,AHSG,0.6596195,0.08101363
ANGPTL3,AHSP,0.6369395,0.0615827
ANGPTL3,AKR1C1,0.42788202,0.000100350255
ANGPTL3,ALAS2,0.4352255,0.00020235643
ANGPTL3,ALB,0.6138776,0.04529414
ANGPTL3,ALDOB,0.5944721,0.03405008
ANGPTL3,AMBP,0.6485093,0.071051665
ANGPTL3,AMN,0.43451926,0.00019042785
ANK1,AC002094.3,0.5476788,0.014910797
ANK1,ACADSB,0.44795606,0.00051059475
ANK1,ACSL4,0.4939433,0.003838342
ANK1,ADH1A,0.41552773,1.733284e-05
ANK1,AFP,0.5766427,0.025517212
ANK1,AGT,0.5818878,0.027858434
ANK1,AHSG,0.60590935,0.040417958
ANK1,AHSP,0.6285911,0.05529988
ANK1,AKR1C1,0.4030097,1.2621727e-07
ANK1,ALAS2,0.48635134,0.002980941
ANK1,ALB,0.5459797,0.014402017
ANK1,ALDOB,0.5544907,0.01707077
ANK1,AMBP,0.6009814,0.03758494
ANK1,AMN,0.41037667,5.1727234e-06
ANK1,ANGPTL3,0.44042993,0.00030595312
ANKS1B,AC092143.1,0.4166217,2.1260488e-05
AP000311.1,AC004086.1,0.4195811,3.47581e-05
AP000311.1,AC135178.2,0.40239462,6.3570276e-08
AP001267.5,AC004086.1,0.5490985,0.015344965
AP001267.5,AC135178.2,0.5327573,0.0108323125
AP001267.5,ACTB,0.41206196,8.124547e-06
AP001267.5,ACTG1,0.4712092,0.0016716848
AP001267.5,AL031847.2,0.41054866,5.434217e-06
AP001324.1,AC004086.1,0.7528334,0.20335522
AP001324.1,AC005943.1,0.4345528,0.00019098326
AP001324.1,AC007969.1,0.49267247,0.0036846686
AP001324.1,AC024592.3,0.42807403,0.00010243781
AP001324.1,AC073861.1,0.5239543,0.008817198
AP001324.1,AC093512.2,0.50707877,0.0056840274
AP001324.1,AC093899.2,0.49598077,0.004093537
AP001324.1,AC135178.2,0.7450006,0.19011031
AP001324.1,ACTA1,0.52431077,0.008893494
AP001324.1,ACTB,0.49674237,0.004191759
AP001324.1,ACTC1,0.5445506,0.013983175
AP001324.1,ACTG1,0.5347248,0.011321096
AP001324.1,ACTN2,0.4448867,0.0004186966
AP001324.1,AL031847.2,0.5916647,0.03259661
AP001324.1,AL122020.1,0.59985036,0.036953952
AP001324.1,AL365205.1,0.4026892,9.003414e-08
AP001324.1,AL365357.1,0.5210116,0.008204026
AP001324.1,AL590867.2,0.45433983,0.0007428497
AP001324.1,AL591846.1,0.51151335,0.006419877
AP001324.1,ANXA2,0.41738847,2.4340517e-05
AP001324.1,AP001267.5,0.47020963,0.0016022715
APBB1,AC092143.1,0.4084768,2.819948e-06
APC2,AC092143.1,0.5805123,0.027231181
APC2,ACTL6B,0.4206527,4.0782663e-05
APEX1,ACTG1,0.4207778,4.1528318e-05
APLP1,AC092143.1,0.6419192,0.06554765
APLP1,ACTL6B,0.45731002,0.00087144057
APLP1,APC2,0.4740721,0.0018815252
APOA1,A1BG,0.6002399,0.037170455
APOA1,A1CF,0.4880693,0.003162421
APOA1,A2M,0.45155427,0.0006343661
APOA1,ABCB10,0.46269065,0.0011406551
APOA1,AC002094.3,0.79448307,0.2842047
APOA1,AC011481.3,0.61876756,0.048472445
APOA1,AC024267.1,0.4193788,3.369191e-05
APOA1,AC068724.4,0.48290297,0.002637889
APOA1,AC100835.2,0.4372374,0.00023904764
APOA1,AC104389.5,0.46726748,0.0014091642
APOA1,AC115619.1,0.42510653,7.326654e-05
APOA1,ACAA1,0.41322342,1.070475e-05
APOA1,ACADSB,0.6552609,0.07700149
APOA1,ACSL4,0.7346595,0.17352243
APOA1,ACSS2,0.42288464,5.5485347e-05
APOA1,ADH1A,0.6204935,0.049628757
APOA1,ADH6,0.50853777,0.005919552
APOA1,AFP,0.94387764,0.7448172
APOA1,AGT,0.87369496,0.4920876
APOA1,AGXT,0.5232591,0.008669682
APOA1,AHSG,0.9342534,0.7059728
APOA1,AHSP,0.8856671,0.5303495
APOA1,AKR1C1,0.5808887,0.027401883
APOA1,ALAD,0.5128344,0.006650756
APOA1,ALAS2,0.5965568,0.035156872
APOA1,ALB,0.9206147,0.65327436
APOA1,ALDH1A1,0.44408056,0.00039654033
APOA1,ALDH1L1,0.40203902,3.9247105e-08
APOA1,ALDH4A1,0.43935996,0.00028229944
APOA1,ALDOB,0.82330954,0.3511724
APOA1,AMBP,0.91254336,0.6233585
APOA1,AMN,0.6105436,0.04320881
APOA1,ANGPTL3,0.6499365,0.072282836
APOA1,ANK1,0.59661734,0.035189383
APOA1-AS,AFP,0.44465593,0.00041227153
APOA1-AS,AGT,0.4251699,7.3822644e-05
APOA1-AS,AHSG,0.4484106,0.0005252516
