name,module_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff,margin_score
Tuba1a,1,1478,812.8908454599997,74.14367072586187,0.24730669544655395,0.8042839169502258
Rtn1,1,1372,755.93357269,67.05515321694944,0.2706596236493972,0.9209022521972656
Crmp1,1,1316,718.5837944899993,60.13328111876764,0.2954626879471148,0.9418607950210571
Tubb2b,1,1426,768.8002857100001,59.68113899247616,0.2643291257597008,0.887789249420166
Basp1,1,1432,775.6237144199978,59.115127789509735,0.2595100898305283,0.890897274017334
Lrba,1,1614,863.1134880400008,58.9220485032274,0.21686867313363925,0.6606069803237915
Tmsb10,1,1579,845.4654540199992,58.4596495760522,0.22544309781984878,0.6659915447235107
Mapt,1,1287,703.8254621799996,58.26950921273769,0.29728919775576074,0.877134382724762
Stmn2,1,1286,701.0355194900008,57.04876025748305,0.3017470393522581,0.8142606616020203
Stmn1,1,1415,755.8796301000002,54.23396414599371,0.26657203832447857,0.793667197227478
Mllt11,1,1313,710.2800091699993,54.11290098012979,0.2979410863225159,0.8926542401313782
Snrpn,1,1322,716.4930941800002,53.59478183743377,0.2910416053487192,0.8781610727310181
Stmn3,1,1263,685.2623344500013,52.98806549064612,0.3111877362905968,0.8750468492507935
Map2,1,1314,709.0519037400004,51.01452715921171,0.29741340835874946,0.949695885181427
Tubb2a,1,1257,679.4775214699993,49.23019291504627,0.31081611763930905,0.598677933216095
Gm38393,1,1301,700.5949412700005,49.126454660191854,0.2984272453142553,0.8916047811508179
Bex2,1,1270,684.3822367400006,48.24263955815039,0.31583303860067136,0.850326657295227
Dpysl3,1,1326,706.7750329999999,46.43197333197612,0.2942724607985429,0.9478520154953003
Gng3,1,1275,681.7962332999992,45.98286789559081,0.31025086957860065,0.8657822608947754
Dcx,1,1293,689.6582537099999,45.62872274371366,0.3090192726254014,0.9247525334358215
Ina,1,1191,641.7685409300001,45.330394170663524,0.3375709981725688,0.9402711987495422
Elavl3,1,1199,641.1004731299987,43.30045318830665,0.3471409814244202,0.9552969336509705
Map1b,1,1247,663.9918968100003,42.505989622051025,0.3249300729455348,0.9568766951560974
Tubb3,1,1192,634.8812934899997,42.39702492705947,0.3516220648149713,0.9099988341331482
Gap43,1,1176,628.282835620001,41.428479966602566,0.34042118975249674,0.7050971984863281
Calm2,1,1476,773.6886905499975,41.12682976558857,0.24956042441780352,0.6863037347793579
Gnao1,1,1230,655.4792527299996,40.6620821115027,0.3266453657213545,0.9392382502555847
Cnih2,1,1189,632.6387695599998,40.2576709498977,0.34931598009815,0.9582333564758301
Nsg2,1,1145,609.8429540900005,39.01717114697978,0.3706079946254619,0.9499461054801941
Rufy3,1,1184,628.0838165900004,37.72563302916752,0.35195963080578463,0.949661374092102
Stmn4,1,1122,596.2504655499993,36.65688793759615,0.3777280598396199,0.9501938819885254
Rab3a,1,1149,609.1906008899994,35.56334129853172,0.3677626052649933,0.9294682145118713
Cdk5r1,1,1130,596.4062385800001,34.8864910203169,0.37941478479663265,0.9641079902648926
Sept3,1,1163,612.51979393,34.79607026571852,0.36511159488710276,0.9631431102752686
Dpysl2,1,1259,657.1300461899998,33.556796564169446,0.3255100636308878,0.9280709028244019
Uchl1,1,1110,583.3967664399997,32.812855100594824,0.37850023152097095,0.7798173427581787
Celf4,1,1102,581.562304869999,32.53848772803144,0.3816840324997404,0.961109459400177
Nsg1,1,1132,595.7409314500002,32.31575128665878,0.3791322604530842,0.941417932510376
Pfn2,1,1246,649.5960420800003,32.02912283375165,0.3338168081636337,0.8581157326698303
Nnat,1,1088,571.0313250099993,31.52490420971188,0.39819863087829427,0.7965890169143677
Serf1,1,1240,644.734840520001,31.331657091813522,0.33853523913666067,0.7418597340583801
Rab3c,1,1087,571.8226739099991,30.94696477987285,0.3910013028576463,0.9187815189361572
Tubb5,1,1392,710.0582593100007,30.75259359185249,0.2673663617508284,0.3048097789287567
Fnbp1l,1,1234,640.2905127500004,30.260502078378025,0.3335239319576056,0.9091894626617432
AC161165.4,1,1138,593.8846675600005,29.860010303067206,0.38107868732349953,0.9529534578323364
Kif5c,1,1087,569.397782089999,29.186317003688064,0.3991911778409158,0.9655922651290894
Marcksl1,1,1309,667.776617979999,29.001161461767417,0.28817315082830464,0.26656225323677063
Myt1l,1,1046,548.4300297300009,28.31253894221846,0.4186246077561364,0.9686116576194763
Nrxn1,1,1093,569.8453010299997,27.831415012495743,0.376015871898763,0.9243757128715515
Calm1,1,1437,730.0203197899998,27.08738150065586,0.26281249818272745,0.3934265375137329
Dpysl5,1,1050,547.30639131,27.039922980339693,0.42737663988378954,0.9526230692863464
Snap47,1,1133,587.6198993700004,26.220137608674317,0.37751178116199213,0.8958849310874939
Gdi1,1,1123,578.5266246499999,25.162806470992773,0.3935647925486069,0.9279911518096924
Gpm6a,1,1002,521.7986981899998,25.040299301491686,0.44440589350768994,0.9387320280075073
Gng2,1,1082,558.8310349800003,24.952847158201987,0.4145131587272003,0.9542993307113647
2900011O08Rik,1,1020,529.8390709699995,24.524386588292362,0.43895399180280553,0.9735538363456726
Gm1673,1,1032,533.0300217700006,23.473348183999924,0.4341555199663155,0.8570309281349182
Soga3,1,995,513.41031234,22.30672115398636,0.4607463878749886,0.9688809514045715
Ybx1,1,1513,754.9571927800006,21.653039021785077,0.23886545879275553,-0.27176183462142944
Hsbp1,1,1302,656.6939974600012,21.614693094339213,0.31158118946668695,0.5355074405670166
Ly6h,1,974,502.6937468400003,21.363178168001646,0.4542904837174555,0.8611539602279663
Hdgfl3,1,1125,571.7605432200003,20.705409732051777,0.38934124159746936,0.9467911720275879
Ptms,1,1210,607.56277481,20.532319982357844,0.3370205552023734,0.7080362439155579
Evl,1,1154,583.9162841799989,20.258149884817907,0.3768527885209408,0.8992960453033447
Ctnna2,1,1011,516.4306041999996,20.214443208977194,0.42771493766587343,0.9026528596878052
Ttc9b,1,964,493.8639020200006,19.94619812755158,0.48299746211484684,0.9198600649833679
Hecw1,1,940,483.16254588000004,19.80687407470941,0.48804749280583687,0.9920517802238464
Apc,1,1161,586.6196643000003,19.758727652834104,0.3694808280614215,0.9207445979118347
Dynlrb1,1,1253,626.8732319000003,19.495470899698226,0.3276532488162595,0.5767670273780823
Calm3,1,1176,592.4460831300006,19.37902844153305,0.37047619047619046,0.8114640116691589
Cadps,1,992,506.18124187000035,19.346490975550683,0.4445981576120569,0.958255410194397
Elavl2,1,972,495.50550721000087,19.197281683086736,0.4675888842269435,0.6641535758972168
Chd3os,1,936,479.94585319999953,19.169307146976365,0.47239361945244296,0.8913797736167908
Ywhag,1,1081,547.6261049099999,19.010954257957398,0.4086271285161202,0.8735142350196838
Sbk1,1,976,494.83374573,18.958933858268377,0.4610613703236654,0.8267006874084473
Erc2,1,991,504.32352287999987,18.879238722011433,0.43922372055570846,0.9541332125663757
Cfl1,1,1415,695.8046111900009,18.727862462226067,0.2352167372214253,-0.18525168299674988
Pcsk1n,1,897,459.92274690999994,18.634987565793534,0.49261426978818285,0.873608410358429
Pkia,1,1048,532.2318353300001,18.495560706474407,0.41729733079609493,-0.1884041279554367
6330403K07Rik,1,1035,524.5940237299995,18.44400234214002,0.4407871499453368,0.9119834303855896
Ywhae,1,1541,756.1604461899989,18.338952758435912,0.22094945936607197,-0.03074137307703495
Pafah1b3,1,1044,527.1819965500001,18.243206498783824,0.4343056979020876,0.8636990785598755
Fez1,1,1031,520.8132124700003,18.239063579645983,0.43134669893495803,0.8783380389213562
Zcchc18,1,935,477.46559103,17.999247530755227,0.4913648387133713,0.9666978716850281
Gabrb3,1,952,484.6677514700003,17.630819289027343,0.47621698521679967,0.9898680448532104
Serp2,1,903,461.7249814399997,17.59908552720869,0.5029232442732159,0.9317370057106018
Scg5,1,942,479.01202675999957,17.297013413079235,0.5009577830875136,0.9345462322235107
Ywhaq,1,1304,646.0722457699999,17.215168682007832,0.3091320642782818,0.5279667973518372
Slc25a4,1,1322,655.1873171599993,17.201970853774583,0.29876279946540296,0.19606156647205353
Pak3,1,990,501.1069676200004,16.961413972387813,0.46200324784753505,0.9207760691642761
Actl6b,1,884,450.0235133900001,16.8279199725359,0.5367960931214546,0.983170211315155
Nrg3,1,898,457.08423636999976,16.774394225818394,0.5011284832142777,0.8831067085266113
Ttc3,1,1426,699.2540058400027,16.54631544382194,0.2584582072291528,0.7141585350036621
Chl1,1,898,456.33236962999945,16.502023715122686,0.5079291774362947,0.9918521046638489
Jpt1,1,1098,546.1230214100001,16.234919798265405,0.37296617866577664,0.5649288296699524
Klc1,1,1014,508.12565401999996,15.961537736550211,0.44555882015066467,0.8891956210136414
Pclo,1,920,464.8946666300001,15.873477456193132,0.4880304678998912,0.9471713304519653
