name,module_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff,margin_score
RPL13A,1,3507,698.4219639359994,63.58344828217925,0.10978987343542887,0.8951928615570068
EEF1A1,1,3625,719.0896127460014,63.145084611461854,0.10362609423764939,0.8972871899604797
RPS2,1,3516,694.1038204359988,58.6770737779896,0.10937765500366542,0.889893114566803
RPS8,1,3512,687.7353401640019,58.27872354338345,0.10911022241195747,0.8956369161605835
RPS23,1,3499,688.1782224750013,58.186667841647896,0.1103801445516329,0.9051494002342224
RPLP1,1,3562,699.8526686539988,58.12168912433158,0.10581537055073358,0.8713755011558533
RPL27A,1,3354,663.9389348600013,57.379128118753066,0.11815956696279073,0.8837906718254089
RPL10,1,3613,705.2959499819991,57.270349919441315,0.10510893509625478,0.8745920062065125
RPL37A,1,3164,629.8876680920001,57.177945700552065,0.131502322404317,0.8722772002220154
RPS27,1,3504,682.6109145039998,56.62902837658416,0.11009904100464442,0.8837189674377441
RPS14,1,3313,654.9085457500006,56.03935623947712,0.12166079024075847,0.9055755138397217
RPL26,1,3169,627.9152859770011,55.419305035436665,0.1309680904979106,0.8870328068733215
RPS12,1,3341,656.4137353349976,55.28519304764035,0.11879318286503915,0.8649678230285645
RPL32,1,3358,658.4974803040002,55.13976732166181,0.11931261834897186,0.9062620401382446
RPL31,1,3137,623.1602191199977,54.78211871112689,0.1320449880621678,0.886235237121582
RPL13,1,3169,625.0499270280013,53.46132873250435,0.13047523196623861,0.8979029059410095
RPLP0,1,3388,664.4542165609994,53.09385619261631,0.11693331227915332,0.8978930711746216
RPS6,1,3283,642.6087702759996,53.017927872865855,0.12308323695108757,0.9039322733879089
RPS15A,1,3575,687.3596154070016,52.95065654230699,0.10630341119428977,0.8865519762039185
RPL37,1,3255,637.9385646730016,52.664916509350114,0.1247143772948242,0.8778378367424011
RPL34,1,3458,666.8287857190005,52.28971231989484,0.11340432476799574,0.8936405181884766
AC004086.1,1,3174,625.575677122,52.12134426776489,0.13078846783599252,0.8998192548751831
RPL35A,1,3370,653.803192549,51.97325906293912,0.11848808256110656,0.9119168519973755
RPL11,1,3229,632.9936882980005,51.74647219144185,0.12732562668781947,0.9079131484031677
RPL29,1,3346,652.6734534980006,51.68752796424732,0.11936328052056892,0.8880556225776672
RPS19,1,3313,643.1518565479998,51.31915398145938,0.12198669128057965,0.9011601805686951
RPS3A,1,3024,594.1212389439999,49.64537549060885,0.1415888680609157,0.8974514603614807
