source,target,PCC,Rescaled_PCC
MT-ND2,MT-ND5,0.46282923,0.0011482363
MT-ND2,MT-ND1,0.67721665,0.098628886
HAUS7,TREX2,0.4554734,0.00079031504
IDS,TTTY14,0.4036432,2.2386686e-07
DCX,TTTY14,0.5703336,0.022879533
DCX,PDZD4,0.48475084,0.002818241
DCX,IDS,0.5488876,0.015279946
DCX,CDR1,0.47646222,0.0020696013
DCX,RAB33A,0.4535817,0.0007121891
PAK3,DCX,0.40684852,1.4870832e-06
BEX5,TTTY14,0.409397,3.8416156e-06
BEX5,IDS,0.4411143,0.00032175472
BEX5,DCX,0.55820507,0.018331893
TCEAL2,TTTY14,0.42109326,4.344869e-05
TCEAL2,IDS,0.42404917,6.43941e-05
TCEAL2,DCX,0.5716204,0.023401998
TCEAL2,BEX5,0.45029667,0.0005890657
BEX3,HMGB3,0.4072413,1.757913e-06
MT-CO2,MT-ND5,0.42279178,5.481261e-05
MT-CO2,MT-ND1,0.74917036,0.19708712
MT-CO2,MT-ND2,0.71105987,0.13934076
MT-CO1,MT-ND5,0.46029973,0.0010150609
MT-CO1,MT-ND1,0.7194013,0.15085377
MT-CO1,MT-ND2,0.7397307,0.18153094
MT-CO1,MT-CO2,0.7657535,0.22652268
MT-CYB,MT-ND5,0.4819039,0.0025436655
MT-CYB,MT-ND1,0.56705076,0.021581993
MT-CYB,MT-ND2,0.65900457,0.08043932
MT-CYB,MT-CO2,0.67976236,0.101371065
MT-CYB,MT-CO1,0.6955244,0.11948852
PCSK1N,TTTY14,0.53603184,0.01165381
PCSK1N,PDZD4,0.49168554,0.0035681957
PCSK1N,PNCK,0.4022206,5.069413e-08
PCSK1N,IDS,0.56001186,0.018967174
PCSK1N,CDR1,0.44599614,0.0004505159
PCSK1N,RAB33A,0.4503818,0.0005920613
PCSK1N,DCX,0.7300363,0.16642992
PCSK1N,BEX5,0.62003833,0.049322065
PCSK1N,TCEAL2,0.57786083,0.026048765
PCSK1N,NAP1L3,0.4164594,2.0643753e-05
RBM3,RPS4Y1,0.40635714,1.1894061e-06
NDUFB11,BEX3,0.49863553,0.0044426923
LINC00632,TTTY14,0.41566393,1.7792938e-05
LINC00632,IDS,0.41226113,8.53369e-06
LINC00632,CDR1,0.46629366,0.0013488452
LINC00632,DCX,0.58239245,0.028090974
LINC00632,TCEAL2,0.4404538,0.00030649538
LINC00632,PCSK1N,0.5034384,0.005123795
MIAT,TTTY14,0.4167201,2.1640222e-05
MIAT,DCX,0.5966655,0.035215244
MIAT,PCSK1N,0.48685688,0.0030336028
MIAT,LINC00632,0.4369973,0.00023445305
SERPIND1,ACSL4,0.56170446,0.019575465
SEPT5,DCX,0.53362745,0.011046716
SEPT5,TCEAL2,0.4059617,9.809652e-07
SEPT5,PCSK1N,0.5294963,0.010053524
FTCD,ACSL4,0.51767296,0.007543556
FTCD,SERPIND1,0.42605957,8.193093e-05
MT-ATP6,MT-ND5,0.46990505,0.0015815092
MT-ATP6,MT-ND1,0.6332941,0.058783773
MT-ATP6,MT-ND2,0.6592631,0.08068042
MT-ATP6,MT-CO2,0.7009366,0.1261744
MT-ATP6,MT-CO1,0.72490007,0.15877992
MT-ATP6,MT-CYB,0.7627283,0.22094816
CLIC6,AIFM3,0.4348565,0.00019606383
CLIC6,RSPH1,0.54498875,0.014110717
COL6A1,COL6A2,0.5539698,0.016898682
TTC3,DCX,0.4302822,0.00012856076
KCNQ2,DCX,0.4241017,6.481708e-05
KCNQ2,PCSK1N,0.4327944,0.00016328439
STMN3,DCX,0.48146227,0.0025027397
STMN3,PCSK1N,0.54061824,0.012872744
BIRC7,MRAP,0.46906117,0.0015249224
RBM38,ACSL4,0.4472005,0.00048683974
BEX4,PCSK1N,0.40310603,1.3872737e-07
GNAS,RPS4Y1,0.47420603,0.0018917498
GNAS,MT-ND1,0.54570985,0.014322302
GNAS,MT-ND2,0.42895824,0.00011242485
GNAS,RTL8C,0.4112995,6.6791754e-06
GNAS,NDUFA1,0.40271646,9.2800924e-08
GNAS,BEX3,0.41934302,3.3505723e-05
GNAS,MT-CO2,0.49231717,0.00364245
GNAS,MT-CO1,0.49336478,0.0037678652
GNAS,PSMA7,0.42889404,0.00011167884
ZFAS1,RPS4Y1,0.43228653,0.00015581529
ZFAS1,MT-ND1,0.42157307,4.648168e-05
ZFAS1,GNAS,0.4777609,0.0021768583
SLC12A5,DCX,0.48678377,0.00302595
SLC12A5,BEX5,0.42158034,4.6528712e-05
SLC12A5,PCSK1N,0.5201959,0.008039243
LGALS1,RPS4Y1,0.4553335,0.00078435114
LGALS1,ITM2A,0.50871676,0.0059488863
LGALS1,RBM3,0.4133926,1.1120918e-05
LGALS1,EGFL6,0.40605435,1.0274175e-06
LGALS1,COL6A2,0.60972023,0.042703867
LGALS1,COL6A1,0.55249923,0.016419094
LGALS1,GNAS,0.40583786,9.2109985e-07
SLC32A1,DCX,0.43877515,0.00026990226
SLC32A1,PCSK1N,0.40485638,5.3025354e-07
ATP5F1E,RPS4Y1,0.43332624,0.00017135828
ATP5F1E,MT-ND1,0.45648885,0.000834515
ATP5F1E,NDUFA1,0.41464263,1.4534599e-05
ATP5F1E,BEX3,0.40995613,4.568953e-06
ATP5F1E,MT-CO2,0.4315,0.00014470286
ATP5F1E,MT-CO1,0.44504467,0.00042313233
ATP5F1E,PSMA7,0.4051993,6.506939e-07
ATP5F1E,GNAS,0.55504173,0.017254084
ATP5F1E,ZFAS1,0.462402,0.0011249708
ATP5F1E,LGALS1,0.4015286,1.6535605e-08
MAP1LC3A,PCSK1N,0.42853957,0.00010761886
DYNLRB1,BEX3,0.44214037,0.00034645043
VSTM2L,TTTY14,0.40487826,5.374513e-07
VSTM2L,IDS,0.4289368,0.000112175454
VSTM2L,DCX,0.567024,0.02157162
VSTM2L,BEX5,0.4289222,0.00011200572
VSTM2L,PCSK1N,0.5595307,0.018796574
VSTM2L,LINC00632,0.41957903,3.474715e-05
VSTM2L,MIAT,0.5126699,0.006621709
TNNC2,AC007325.4,0.42782632,9.975004e-05
TNNC2,RPS4Y1,0.41681448,2.2008771e-05
TNNC2,SRPK3,0.5170772,0.007429562
TNNC2,MIR503HG,0.46856868,0.0014925316
TNNC2,FHL1,0.4864284,0.0029889296
TNNC2,ATP1B4,0.4836055,0.0027055196
TNNC2,TCEAL7,0.42154178,4.6279707e-05
TNNC2,Z83818.2,0.44414645,0.00039832128
TNNC2,ITM2A,0.49105522,0.0034951086
TNNC2,ITGB1BP2,0.4333921,0.00017237627
TNNC2,CLCN5,0.54510784,0.014145516
TNNC2,DMD,0.45580155,0.00080442353
TNNC2,MYO18B,0.41801378,2.7062035e-05
TNNC2,LGALS1,0.44418868,0.0003994655
MT-ND4,MT-ND5,0.50692797,0.0056600478
MT-ND4,MT-ND1,0.66650534,0.08763224
MT-ND4,MT-ND2,0.7606668,0.21720243
MT-ND4,MT-CO2,0.7840332,0.26221186
MT-ND4,MT-CO1,0.74963325,0.19787203
MT-ND4,MT-CYB,0.7673845,0.2295666
MT-ND4,MT-ATP6,0.7426567,0.18626182
NNAT,TTTY14,0.5643858,0.02056548
NNAT,PDZD4,0.4911781,0.0035092768
NNAT,IDS,0.56825423,0.022051806
NNAT,CDR1,0.44827625,0.00052089075
NNAT,RAB33A,0.43801263,0.0002542903
NNAT,DCX,0.7570361,0.21070872
NNAT,BEX5,0.5772719,0.02579085
NNAT,TCEAL2,0.5806467,0.027292056
NNAT,BEX3,0.42061225,4.0543553e-05
NNAT,NAP1L3,0.41169143,7.3985752e-06
NNAT,PCSK1N,0.7328696,0.17075314
NNAT,LINC00632,0.55726874,0.018008327
NNAT,MIAT,0.56935996,0.022489429
NNAT,SEPT5,0.5032584,0.0050970907
NNAT,KCNQ2,0.42700747,9.1200556e-05
NNAT,STMN3,0.48203477,0.0025558777
NNAT,BEX4,0.41345683,1.1281679e-05
NNAT,SEZ6L,0.4357755,0.0002119838
NNAT,SLC12A5,0.48574984,0.0029190804
NNAT,SLC32A1,0.42297453,5.61417e-05
NNAT,VSTM2L,0.58427095,0.028967887
A1BG,ACSL4,0.55083597,0.015887694
A1BG,SERPIND1,0.46569076,0.0013123782
A1BG,FTCD,0.44323453,0.00037414368
SSC5D,TNMD,0.4995906,0.0045730006
SYT5,DCX,0.4828394,0.0026318254
SYT5,PCSK1N,0.4955936,0.0040442003
SYT5,NNAT,0.4791474,0.0022953877
TNNI3,MRAP,0.47583064,0.0020187397
BRSK1,DCX,0.41358846,1.1616004e-05
BRSK1,PCSK1N,0.41604182,1.9112027e-05
BRSK1,NNAT,0.40847385,2.8170043e-06
MYADM,LGALS1,0.4500606,0.0005808103
MYADM,TNNC2,0.45613208,0.00081880327
TIMP1,LGALS1,0.47419414,0.0018908405
ETFB,DCX,0.4533443,0.00070276443
ETFB,PCSK1N,0.4534661,0.0007075894
ETFB,NNAT,0.46401492,0.001214478
ATF5,ACSL4,0.49261385,0.0036776804
ATF5,SERPIND1,0.4123307,8.679753e-06
ATF5,A1BG,0.4111571,6.429833e-06
MAMSTR,TNNC2,0.40208334,4.1862123e-08
SULT2A1,MRAP,0.76526165,0.22561
SULT2A1,BIRC7,0.5157938,0.0071879
SULT2A1,TNNI3,0.53319365,0.01093948
EMP3,LGALS1,0.47262612,0.0017734731
NOVA2,DCX,0.4825188,0.0026013858
NOVA2,PCSK1N,0.45629078,0.00082576775
NOVA2,NNAT,0.4770522,0.0021178804
FOXA3,ACSL4,0.40670022,1.3925568e-06
APOC2,ACSL4,0.5275804,0.00961386
APOC2,SERPIND1,0.44722673,0.00048765176
APOC2,FTCD,0.4101602,4.855724e-06
APOC2,A1BG,0.43951145,0.0002855715
CALM3,DCX,0.45296368,0.0006878291
CALM3,BEX3,0.40312627,1.4145652e-07
CALM3,PCSK1N,0.47544062,0.0019877506
CALM3,NNAT,0.4438947,0.00039154597
AC011481.3,ACSL4,0.5813295,0.027602708
AC011481.3,SERPIND1,0.48989898,0.0033636473
AC011481.3,FTCD,0.44861805,0.0005320332
AC011481.3,RBM38,0.40791258,2.293506e-06
AC011481.3,A1BG,0.47364858,0.0018494355
AC011481.3,ATF5,0.42703673,9.149735e-05
AC011481.3,SULT2A1,0.40748575,1.942011e-06
AC011481.3,APOC2,0.4580523,0.00090574194
