source,target,PCC,Rescaled_PCC
Ermap,Rhag,0.6642205,0.00010056017
Cpox,Rhag,0.7183173,0.008014226
Cpox,Ermap,0.80441445,0.08788649
Gap43,Reep1,0.67774814,0.0006123102
Gap43,Dynll2,0.65028167,3.3150337e-07
Ubb,Sbk1,0.6588204,3.0277743e-05
Phactr3,Gap43,0.6482913,2.043145e-09
Fgb,Ermap,0.7046338,0.0041936943
Fgb,Cpox,0.75027925,0.024611553
Adipor1,Hba-a1,0.75442225,0.027720228
Rpl10a,Rpl31,0.7352089,0.015268671
Pafah1b3,Sbk1,0.6933919,0.0021636623
Pafah1b3,Ubb,0.6618325,6.2671555e-05
Bex2,Reep1,0.6550356,8.515243e-06
Bex2,Dynll2,0.6586744,2.9085724e-05
Bex2,Sbk1,0.7022835,0.0036942675
Bex2,Gap43,0.83093274,0.14053296
Bex2,Ubb,0.66344565,8.6950444e-05
Bex2,Phactr3,0.6723864,0.00033847362
Bex2,Pafah1b3,0.7235054,0.009917715
Atpif1,Bex2,0.67724,0.00058162416
Eef1e1,Bex2,0.6599488,4.0609273e-05
Snca,Hba-a1,0.87684184,0.27497172
Snca,Adipor1,0.68606293,0.0012782542
Hnrnpa2b1,Rplp0,0.6520401,1.6912453e-06
Apex2,Hba-a1,0.93713796,0.5543863
Apex2,Adipor1,0.7238585,0.0100572165
Apex2,Snca,0.8435612,0.1716644
Lor,Elovl4,0.66719615,0.00016594153
Lor,Ly6g6c,0.80519027,0.089199424
Psma6,Rplp0,0.67139566,0.0002991141
Cdc25b,Apex2,0.66703564,0.00016184642
Syn2,Gap43,0.64999616,2.2811733e-07
Serp2,Gap43,0.74089015,0.018445287
Serp2,Bex2,0.74334496,0.019944062
Tuba1a,Mir124a-1hg,0.66315526,8.218491e-05
Tuba1a,Reep1,0.6863432,0.0013065815
Tuba1a,Dynll2,0.690567,0.0017855369
Tuba1a,Fam57b,0.6716687,0.00030963885
Tuba1a,Sbk1,0.8078901,0.09387031
Tuba1a,Gap43,0.8394342,0.1610324
Tuba1a,Ubb,0.74182165,0.019004831
Tuba1a,Phactr3,0.71099216,0.005765931
Tuba1a,Pafah1b3,0.80473703,0.08843082
Tuba1a,Bex2,0.8913581,0.33064827
Tuba1a,Atpif1,0.6802433,0.00077872886
Tuba1a,Eef1e1,0.6828928,0.0009858246
Tuba1a,Grcc10,0.6812806,0.00085594575
Tuba1a,Apbb1,0.67721254,0.0005799946
Tuba1a,Serp2,0.74947083,0.024033438
Map1b,Reep1,0.6528465,2.8658178e-06
Map1b,Dynll2,0.72991604,0.0126582915
Map1b,Sbk1,0.7167406,0.007488273
Map1b,Gap43,0.81962293,0.11606538
Map1b,Phactr3,0.6606748,4.836314e-05
Map1b,Pafah1b3,0.68276507,0.00097508536
Map1b,Bex2,0.7987043,0.078617215
Map1b,Serp2,0.68669677,0.0013429124
