run_id,k_intra,k_inter,cutoff_intra,cutoff_inter,n_edges,n_components,largest_component_frac,n_modules,largest_module_frac,singleton_gene_frac,cross_weight_frac,mixed_module_frac,human_isolated_frac,human_cross_coverage,human_median_degree,human_p95_degree,human_median_cross_strength_frac,mouse_isolated_frac,mouse_cross_coverage,mouse_median_degree,mouse_p95_degree,mouse_median_cross_strength_frac,mean_adjacent_ari,min_adjacent_ari
0,25,10,0.85,0.65,394102,184,0.9852619000199163,202,0.11445263227776671,0.011153156741684923,0.2769209124471114,0.08415841584158416,0.017404129793510324,0.8930678466076696,46.0,100.0,0.1948289689703269,0.006036460219727152,0.9180248702161052,47.0,87.0,0.19384472622064425,0.667323267161264,0.6105657412193001
1,25,10,0.85,0.7,385377,211,0.982938325698732,233,0.10542388634402178,0.01254730133439554,0.2647140711501247,0.060085836909871244,0.01902654867256637,0.8441002949852507,45.5,98.0,0.18374015335098498,0.007243752263672582,0.8838585053724496,46.0,86.0,0.18494564261704693,0.6879318197172173,0.5832529524399801
2,25,10,0.85,0.75,362477,214,0.9827391621854876,236,0.10854411471818363,0.012746464847639912,0.22804665127088605,0.05508474576271186,0.019469026548672566,0.7253687315634219,43.0,92.04999999999927,0.15124495328033521,0.007243752263672582,0.7937945188941204,45.0,82.0,0.1642050661198037,0.6891507224931578,0.5480613558637923
3,25,10,0.9,0.65,376780,377,0.9705238000398327,399,0.10675164309898427,0.022970191860851093,0.2892352138722273,0.05012531328320802,0.03259587020648968,0.8930678466076696,44.5,99.0,0.20195006630312412,0.01509115054931788,0.9180248702161052,46.0,86.0,0.19786430262935534,0.7214464646741692,0.6254070537850527
4,25,10,0.9,0.7,368055,513,0.9588395405961628,538,0.10256920932085242,0.030737568877381664,0.27669326679896944,0.03531598513011153,0.043510324483775814,0.8441002949852507,44.0,97.0,0.18997703610284666,0.02028250633828323,0.8838585053724496,46.0,86.0,0.18870795225866488,0.7458881398150035,0.5856343100417262
5,25,10,0.9,0.75,345155,594,0.9513377149306247,617,0.1452565889928965,0.03578304454623913,0.23890566325666263,0.02106969205834684,0.05073746312684366,0.7253687315634219,42.0,92.0,0.15574508735036363,0.023542194856935893,0.7937945188941204,44.0,82.0,0.16601340089874841,0.7184582921391509,0.5888363100096167
6,25,10,0.95,0.65,332979,724,0.9416450906193985,747,0.10801301201619863,0.044811790479984064,0.3283670349199011,0.030789825970548863,0.06371681415929203,0.8930678466076696,39.5,94.0,0.22874579084005864,0.02933719666787396,0.9180248702161052,43.0,84.0,0.2116165595705097,0.6605353844920748,0.604828785042714
7,25,10,0.95,0.7,324254,1068,0.9115714001194981,1091,0.10940715660890925,0.06605589855938392,0.3148799681807387,0.017415215398716773,0.0915929203539823,0.8441002949852507,39.0,93.0,0.21439495356639268,0.0451527224435591,0.8838585053724496,43.0,83.0,0.20240459145728926,0.6998756529018005,0.6002349543785634
8,25,10,0.95,0.75,301354,1470,0.8816304852950939,1493,0.12779658766513974,0.09081856203943438,0.2738517559611758,0.010716677829872739,0.12433628318584071,0.7253687315634219,37.0,87.04999999999927,0.17615958363368728,0.0633828323071351,0.7937945188941204,41.0,79.0,0.17645179433389463,0.6867925790074189,0.6141989364226591
9,25,25,0.85,0.65,570123,184,0.9852619000199163,199,0.13078404036380534,0.011153156741684923,0.4758678210124746,0.08040201005025126,0.017404129793510324,0.8930678466076696,63.0,203.04999999999927,0.37860121340360275,0.006036460219727152,0.9180248702161052,64.0,140.0,0.37773359777569937,0.7017872926648524,0.6105657412193001
