gene,species
mouse:Nell1,mouse
mouse:Neurog2,mouse
mouse:Nfib,mouse
mouse:Nkain3,mouse
mouse:Nnat,mouse
mouse:Nol4,mouse
mouse:Npas3,mouse
mouse:Nrep,mouse
mouse:Nrk,mouse
mouse:Nsa2,mouse
mouse:Nsg1,mouse
mouse:Otx2os1,mouse
mouse:P3h2,mouse
mouse:Paip2,mouse
mouse:Pak3,mouse
mouse:Pank3,mouse
mouse:Pantr1,mouse
mouse:Pcdh9,mouse
mouse:Pcsk1n,mouse
mouse:Pdpn,mouse
mouse:Pea15a,mouse
mouse:Peg10,mouse
mouse:Peg3,mouse
mouse:Piezo2,mouse
mouse:Pimreg,mouse
mouse:Pirt,mouse
mouse:Pitpnm1,mouse
mouse:Pkhd1,mouse
mouse:Pla2g12b,mouse
mouse:Plagl1,mouse
mouse:Pnma2,mouse
mouse:Pogk,mouse
mouse:Pou3f4,mouse
mouse:Ppfibp1,mouse
mouse:Ppp1r12b,mouse
mouse:Ppp1r1a,mouse
mouse:Prap1,mouse
mouse:Prkar2b,mouse
mouse:Prr32,mouse
mouse:Prr7,mouse
mouse:Prrx2,mouse
mouse:Ptms,mouse
mouse:Ptpn14,mouse
mouse:Pxdn,mouse
mouse:Qprt,mouse
mouse:Ranbp3l,mouse
mouse:Rcbtb2,mouse
mouse:Rdx,mouse
mouse:Rgs10,mouse
mouse:Rhob,mouse
mouse:Riiad1,mouse
mouse:Rit2,mouse
mouse:Rnf112,mouse
mouse:Rnf217,mouse
mouse:Rpl41,mouse
mouse:Rsbn1,mouse
mouse:Rtl6,mouse
mouse:S100a8,mouse
mouse:Samd5,mouse
mouse:Scand1,mouse
mouse:Scgb3a2,mouse
mouse:Scn11a,mouse
mouse:Scn3b,mouse
mouse:Scrg1,mouse
mouse:Scrn1,mouse
mouse:Sdc1,mouse
mouse:Sec11c,mouse
mouse:Serpinb2,mouse
mouse:Serpinb7,mouse
mouse:Sez6l,mouse
mouse:Sgcz,mouse
mouse:Shisa6,mouse
mouse:Sidt1,mouse
mouse:Slc15a3,mouse
mouse:Slc35f1,mouse
mouse:Slc38a1,mouse
mouse:Slc6a12,mouse
mouse:Slitrk1,mouse
mouse:Slitrk5,mouse
mouse:Sln,mouse
mouse:Smim10l2a,mouse
mouse:Smim17,mouse
mouse:Smim26,mouse
mouse:Smlr1,mouse
mouse:Snca,mouse
mouse:Snhg18,mouse
mouse:Snhg6,mouse
mouse:Snrpg,mouse
mouse:Sorbs1,mouse
mouse:Spag5,mouse
mouse:Spin1,mouse
mouse:Spink1,mouse
mouse:Spn,mouse
mouse:Spp1,mouse
mouse:Sprr1b,mouse
mouse:Spta1,mouse
mouse:Srgap3,mouse
mouse:Srm,mouse
mouse:Srsf12,mouse
mouse:Ss18l1,mouse
mouse:Ssc5d,mouse
mouse:Ssr2,mouse
mouse:Stab2,mouse
mouse:Sugp2,mouse
mouse:Svep1,mouse
mouse:Synpo,mouse
mouse:Syt11,mouse
mouse:Syt3,mouse
mouse:Taf1d,mouse
mouse:Tbc1d2b,mouse
mouse:Tceal1,mouse
mouse:Tceal3,mouse
mouse:Tceal6,mouse
mouse:Tceal7,mouse
mouse:Tceal9,mouse
mouse:Tead2,mouse
mouse:Tead4,mouse
mouse:Tekt1,mouse
mouse:Trf,mouse
mouse:Tff3,mouse
mouse:Tgfb1i1,mouse
mouse:Timp1,mouse
mouse:Timp3,mouse
mouse:Tle1,mouse
mouse:Tle4,mouse
mouse:Tll2,mouse
mouse:Tmem109,mouse
mouse:Tmem158,mouse
mouse:Tmem176b,mouse
mouse:Tmprss6,mouse
mouse:Tomm5,mouse
mouse:Treml2,mouse
mouse:Trim28,mouse
mouse:Trim67,mouse
mouse:Tshz2,mouse
mouse:Tspan32,mouse
mouse:Tspoap1,mouse
mouse:Ttc9,mouse
mouse:Tubb3,mouse
mouse:Tug1,mouse
mouse:Txnrd1,mouse
mouse:Ube2l6,mouse
mouse:Ubqln2,mouse
mouse:Usp3,mouse
mouse:Vps13b,mouse
mouse:Vps35,mouse
mouse:Wfdc21,mouse
mouse:Wls,mouse
mouse:Wt1os,mouse
mouse:Ybx3,mouse
mouse:Ypel4,mouse
mouse:Zcchc3,mouse
mouse:Zfp90,mouse
mouse:Zkscan1,mouse
mouse:Zfp422,mouse
mouse:Zfp24,mouse
mouse:Zfp637,mouse
mouse:Zfp397,mouse
mouse:Zfp428,mouse
mouse:Zfp469,mouse
mouse:Zfp580,mouse
mouse:Zfp664,mouse
mouse:Zfp804a,mouse
mouse:Zscan18,mouse
mouse:Zwint,mouse
mouse:AC157554.3,mouse
mouse:Aamdc,mouse
mouse:Aco2,mouse
mouse:Ak6,mouse
mouse:Ankib1,mouse
mouse:Ap1g1,mouse
mouse:Asf1b,mouse
mouse:Atg4a,mouse
mouse:Atp11c,mouse
mouse:Atp5b,mouse
mouse:Atp5d,mouse
mouse:Atp5e,mouse
mouse:Atp5f1,mouse
mouse:Atp5g2,mouse
mouse:Bcl2,mouse
mouse:Brms1l,mouse
mouse:Capn12,mouse
mouse:Cbfa2t2,mouse
mouse:Ccdc38,mouse
mouse:Cd247,mouse
mouse:Cdk8,mouse
mouse:Cdkn1c,mouse
mouse:Cenpa,mouse
mouse:Chpf2,mouse
mouse:Cmss1,mouse
mouse:Copg1,mouse
mouse:Cs,mouse
mouse:Ctcf,mouse
mouse:Cul1,mouse
mouse:Cwf19l2,mouse
mouse:D130009I18Rik,mouse
mouse:Dnm3os,mouse
mouse:Eef1a1,mouse
mouse:Fam166a,mouse
mouse:Gart,mouse
mouse:Gltp,mouse
mouse:Gm10076,mouse
mouse:Gm10800,mouse
mouse:Gm11808,mouse
mouse:Gm15564,mouse
mouse:Gm19951,mouse
mouse:Gm2000,mouse
mouse:Gm20388,mouse
mouse:Gm26561,mouse
mouse:Gm26825,mouse
mouse:Gm26904,mouse
mouse:Gm26917,mouse
mouse:Gm42418,mouse
mouse:Gm45717,mouse
mouse:Gm48825,mouse
mouse:Grpel2,mouse
mouse:H2afy2,mouse
mouse:Hba-a1,mouse
mouse:Hba-a2,mouse
mouse:Hbb-bs,mouse
mouse:Hbb-bt,mouse
mouse:Hivep2,mouse
mouse:Hnrnpul2,mouse
mouse:Hs2st1,mouse
mouse:Hspe1,mouse
mouse:Il31ra,mouse
mouse:Jarid2,mouse
mouse:Kdm5a,mouse
mouse:Kel,mouse
mouse:Kif16b,mouse
mouse:Krtdap,mouse
mouse:Ksr1,mouse
mouse:Lars2,mouse
mouse:Lrba,mouse
mouse:Magi3,mouse
mouse:Mbnl1,mouse
mouse:Med26,mouse
mouse:Mgea5,mouse
mouse:Mllt10,mouse
mouse:Mphosph8,mouse
mouse:Mt1,mouse
mouse:Mtch2,mouse
mouse:Mum1l1,mouse
mouse:Mylpf,mouse
mouse:Naa15,mouse
mouse:Ndufc2,mouse
mouse:Nek6,mouse
mouse:Npepl1,mouse
mouse:Nsd2,mouse
mouse:Nudcd3,mouse
mouse:Pabpc1,mouse
mouse:Pdss2,mouse
mouse:Pkd1l1,mouse
mouse:Polr3k,mouse
mouse:Ppp3cb,mouse
mouse:Prpf19,mouse
mouse:Psmb3,mouse
mouse:Pten,mouse
mouse:Ptpa,mouse
mouse:Ptpn21,mouse
mouse:Rabgap1l,mouse
mouse:Reps2,mouse
mouse:Rock2,mouse
mouse:Rpl10-ps3,mouse
mouse:Rpl17,mouse
mouse:Rpl34,mouse
mouse:Rpl37,mouse
mouse:Rpl6,mouse
mouse:Rpl7a,mouse
mouse:Rpl9,mouse
mouse:Rpl9-ps6,mouse
mouse:Rplp0,mouse
mouse:Rplp1,mouse
mouse:Rplp2,mouse
mouse:Rps17,mouse
mouse:Rps18,mouse
mouse:Rps25,mouse
mouse:Rps9,mouse
mouse:Rrm2b,mouse
mouse:Ruvbl1,mouse
mouse:Sar1b,mouse
mouse:Sbf2,mouse
mouse:Scmh1,mouse
mouse:Serpinb6a,mouse
mouse:Sh3gl3,mouse
mouse:Smim27,mouse
mouse:Snx9,mouse
mouse:Sytl1,mouse
mouse:Taf3,mouse
mouse:Tcf25,mouse
mouse:Tecpr2,mouse
mouse:Tlk1,mouse
mouse:Tlk2,mouse
mouse:Tm2d1,mouse
mouse:Trim30a,mouse
mouse:Ubl5,mouse
mouse:Uqcrh,mouse
mouse:Virma,mouse
mouse:Vmp1,mouse
mouse:Wdr89,mouse
mouse:Zc3h7a,mouse
mouse:Zfc3h1,mouse
mouse:Zfp266,mouse
mouse:Zmym4,mouse
mouse:1700016D06Rik,mouse
mouse:2010107E04Rik,mouse
mouse:2010111I01Rik,mouse
mouse:2510009E07Rik,mouse
mouse:2600014E21Rik,mouse
mouse:2610008E11Rik,mouse
mouse:6030443J06Rik,mouse
mouse:AW549877,mouse
mouse:AW551984,mouse
mouse:AW554918,mouse
mouse:Aak1,mouse
mouse:Abcf2,mouse
mouse:Abr,mouse
mouse:Actn4,mouse
mouse:Adgrd1,mouse
mouse:Aes,mouse
mouse:Ahdc1,mouse
mouse:Ahsa2,mouse
mouse:Angel1,mouse
mouse:Apom,mouse
mouse:Arxes1,mouse
mouse:Atf2,mouse
mouse:Atg3,mouse
mouse:Atp5a1,mouse
mouse:Atp5c1,mouse
mouse:Atp5g1,mouse
mouse:Atp5j2,mouse
mouse:Atp5l,mouse
mouse:Bc1,mouse
mouse:Bex1,mouse
mouse:Bex2,mouse
mouse:Birc6,mouse
mouse:Btbd9,mouse
mouse:C1d,mouse
mouse:Casp8ap2,mouse
mouse:Cbr1,mouse
mouse:Cdc16,mouse
mouse:Cdc37,mouse
mouse:Cdk13,mouse
mouse:Cdyl,mouse
mouse:Celf1,mouse
mouse:Cenpk,mouse
mouse:Cetn3,mouse
mouse:Cfap53,mouse
mouse:Cflar,mouse
mouse:Cript,mouse
mouse:Csnk1d,mouse
mouse:Ctsh,mouse
mouse:Cux1,mouse
mouse:Dbndd2,mouse
mouse:Dcaf8,mouse
mouse:Ddx39b,mouse
mouse:Ddx3y,mouse
mouse:Dennd1a,mouse
mouse:Dnmt1,mouse
mouse:Dvl3,mouse
mouse:Eef1b2,mouse
mouse:Ehd4,mouse
mouse:Eif3k,mouse
mouse:Eno1,mouse
mouse:Fam118b,mouse
mouse:Fam210b,mouse
mouse:Fam25c,mouse
mouse:Fam78b,mouse
mouse:Ftl1,mouse
mouse:Gadl1,mouse
mouse:Gapdh,mouse
mouse:Gm10073,mouse
mouse:Gm10131,mouse
mouse:Gm10282,mouse
mouse:Gm10801,mouse
mouse:Gm15976,mouse
mouse:Gm20458,mouse
mouse:Gm28285,mouse
mouse:Gm40123,mouse
mouse:Gm45716,mouse
mouse:Gm47283,mouse
mouse:Gm48099,mouse
mouse:Gm49164,mouse
mouse:Grb10,mouse
mouse:Gstm2,mouse
mouse:H1fx,mouse
mouse:H2afy,mouse
mouse:H2afz,mouse
mouse:H3f3a,mouse
mouse:Hdac4,mouse
mouse:Hdc,mouse
mouse:Hectd1,mouse
mouse:Hip1,mouse
mouse:Hmbox1,mouse
mouse:Idnk,mouse
mouse:Ints11,mouse
mouse:Ipcef1,mouse
mouse:Kdm1b,mouse
mouse:Kmt2c,mouse
mouse:Kng1,mouse
mouse:Lonp2,mouse
mouse:Lpin3,mouse
mouse:Lyar,mouse
mouse:Marc2,mouse
mouse:March5,mouse
mouse:Mbd3,mouse
mouse:Mettl23,mouse
mouse:Mgat4b,mouse
mouse:Mgat5,mouse
mouse:Mgrn1,mouse
mouse:Mlec,mouse
mouse:Mns1,mouse
mouse:Mpnd,mouse
mouse:Mrc2,mouse
mouse:Mrpl30,mouse
mouse:Mtap,mouse
mouse:Mtf1,mouse
mouse:Mthfd1,mouse
mouse:Myl12a,mouse
mouse:Nbr1,mouse
mouse:Ncaph2,mouse
mouse:Nckap5,mouse
mouse:Ndufa3,mouse
mouse:Nedd4,mouse
mouse:Nfx1,mouse
mouse:Nisch,mouse
mouse:Nkap,mouse
mouse:Nme2,mouse
mouse:Nsd1,mouse
mouse:Numb,mouse
mouse:Pakap,mouse
mouse:Papd4,mouse
mouse:Pbdc1,mouse
mouse:Pde6a,mouse
mouse:Pdha1,mouse
mouse:Pebp1,mouse
mouse:Pex19,mouse
mouse:Pias2,mouse
mouse:Pnpla1,mouse
mouse:Polr2d,mouse
mouse:Ppig,mouse
mouse:Prkch,mouse
mouse:Prm1,mouse
mouse:Prrc1,mouse
mouse:Prrc2a,mouse
mouse:Prss34,mouse
mouse:Psmd11,mouse
mouse:Ptprf,mouse
mouse:Pusl1,mouse
mouse:Pycard,mouse
mouse:Qk,mouse
mouse:Rap1gds1,mouse
mouse:Rbm27,mouse
mouse:Rbm28,mouse
mouse:Rnf187,mouse
mouse:Rnf220,mouse
mouse:Rpl26,mouse
mouse:Rpl27-ps3,mouse
mouse:Rpl36,mouse
mouse:Rpl36a,mouse
mouse:Rpl36a-ps1,mouse
mouse:Rpl36al,mouse
mouse:Rprd2,mouse
mouse:Rps27,mouse
mouse:Rps6kb1,mouse
mouse:Ryk,mouse
mouse:Scd2,mouse
mouse:Scrib,mouse
mouse:Sdhc,mouse
mouse:Serf1,mouse
mouse:Serinc2,mouse
mouse:Sftpc,mouse
mouse:Ski,mouse
mouse:Slc25a17,mouse
mouse:Smarcd2,mouse
mouse:Smc6,mouse
mouse:Smchd1,mouse
mouse:Sqstm1,mouse
mouse:Sra1,mouse
mouse:Srgn,mouse
mouse:St3gal5,mouse
mouse:Suclg2,mouse
mouse:Sypl,mouse
mouse:Taf15,mouse
mouse:Taf1c,mouse
mouse:Tcf20,mouse
mouse:Tlcd1,mouse
mouse:Tmcc1,mouse
mouse:Tnks2,mouse
mouse:Tor1aip1,mouse
mouse:Tpsb2,mouse
mouse:Trappc4,mouse
mouse:Trim59,mouse
mouse:Trpm4,mouse
mouse:Trrap,mouse
mouse:Tspan6,mouse
mouse:Tusc2,mouse
mouse:Ube2j2,mouse
mouse:Ubr2,mouse
mouse:Upf2,mouse
mouse:Uqcrc2,mouse
mouse:Usmg5,mouse
mouse:Usp10,mouse
mouse:Usp29,mouse
mouse:Vasn,mouse
mouse:Xpo6,mouse
mouse:Zbtb20,mouse
mouse:Zim1,mouse
mouse:Zranb3,mouse
mouse:mt-Co1,mouse
mouse:mt-Cytb,mouse
mouse:mt-Nd1,mouse
mouse:1700007G11Rik,mouse
mouse:1810022K09Rik,mouse
mouse:2410015M20Rik,mouse
mouse:Adrm1,mouse
mouse:Aff4,mouse
mouse:Agbl5,mouse
mouse:Anapc1,mouse
mouse:Ap4s1,mouse
mouse:Apoc2,mouse
mouse:Appbp2,mouse
mouse:Arid2,mouse
mouse:Asap2,mouse
mouse:Atp5g3,mouse
mouse:Atp5j,mouse
mouse:Atpif1,mouse
mouse:BC100530,mouse
mouse:Cask,mouse
mouse:Ccnt2,mouse
mouse:Cd47,mouse
mouse:Cdc37l1,mouse
mouse:Cmtm7,mouse
mouse:Cog8,mouse
mouse:Csgalnact1,mouse
mouse:Ctla4,mouse
mouse:Daglb,mouse
mouse:Dcp2,mouse
mouse:Dennd2a,mouse
mouse:Dnajc5,mouse
mouse:Dnttip2,mouse
mouse:Drg1,mouse
mouse:Eef1akmt2,mouse
mouse:Eef1d,mouse
mouse:Elob,mouse
mouse:Eno1b,mouse
mouse:Eppk1,mouse
mouse:Fam221b,mouse
mouse:Fbl,mouse
mouse:Fgfbp1,mouse
mouse:Fitm1,mouse
mouse:Gcom1,mouse
mouse:Gm20425,mouse
mouse:Gm20521,mouse
mouse:Gm20716,mouse
mouse:Gm21974,mouse
mouse:Gm21988,mouse
mouse:Gm26510,mouse
mouse:Gm27029,mouse
mouse:Gm42420,mouse
mouse:Gm42688,mouse
mouse:Gm7324,mouse
mouse:Gm8186,mouse
mouse:Gtf2i,mouse
mouse:Gtpbp8,mouse
mouse:Haao,mouse
mouse:Heph,mouse
mouse:Hjurp,mouse
mouse:Hmg20a,mouse
mouse:Id3,mouse
mouse:Ifrd1,mouse
mouse:Itga6,mouse
mouse:Kat6b,mouse
mouse:Kctd5,mouse
mouse:Kdm2a,mouse
mouse:Klhdc10,mouse
mouse:Lancl1,mouse
mouse:Lsm2,mouse
mouse:Mapkap1,mouse
mouse:Mettl1,mouse
mouse:Mif,mouse
mouse:Mirg,mouse
mouse:Mkl2,mouse
mouse:Mpdz,mouse
mouse:Mrps18a,mouse
mouse:Mtf2,mouse
mouse:Myzap,mouse
mouse:Naa35,mouse
mouse:Naip1,mouse
mouse:Ndufa4,mouse
mouse:Nedd8,mouse
mouse:Nmral1,mouse
mouse:Nop58,mouse
mouse:Nox1,mouse
mouse:Nup210l,mouse
mouse:Nxf1,mouse
mouse:Olfr620,mouse
mouse:Olfr77,mouse
mouse:Orc5,mouse
mouse:Pgls,mouse
mouse:Pglyrp3,mouse
mouse:Picalm,mouse
mouse:Pitpna,mouse
mouse:Pla2g4c,mouse
mouse:Plcb3,mouse
mouse:Pogz,mouse
mouse:Polg,mouse
mouse:Polr2c,mouse
mouse:Ppp1r14b,mouse
mouse:Ppp1r15a,mouse
mouse:Prpf4b,mouse
mouse:Prpf8,mouse
mouse:Prr5,mouse
mouse:Psmc1,mouse
mouse:Qrich1,mouse
mouse:Rab27b,mouse
mouse:Rab38,mouse
mouse:Ralgapa1,mouse
mouse:Ran,mouse
mouse:Rbfox2,mouse
mouse:Rbmxl1,mouse
mouse:Rcor1,mouse
mouse:Rictor,mouse
mouse:Rimklb,mouse
mouse:Rlf,mouse
mouse:Rnf115,mouse
mouse:Rpl29,mouse
mouse:Rps27rt,mouse
mouse:Ryr3,mouse
mouse:Sap18b,mouse
mouse:Scaf8,mouse
mouse:Serpina1a,mouse
mouse:Setd1b,mouse
mouse:Setd5,mouse
mouse:Siae,mouse
mouse:Slc24a3,mouse
mouse:Slc28a1,mouse
mouse:Slc39a8,mouse
mouse:Smarcb1,mouse
mouse:Snap47,mouse
mouse:Snhg11,mouse
mouse:Snx1,mouse
mouse:Specc1l,mouse
mouse:Srrm2,mouse
mouse:Srsf4,mouse
mouse:Stim2,mouse
mouse:Strn3,mouse
mouse:Sult2b1,mouse
mouse:Surf1,mouse
mouse:Tada1,mouse
mouse:Tmem150a,mouse
mouse:Tmem165,mouse
mouse:Tmx4,mouse
mouse:Tomm6,mouse
mouse:Trappc2,mouse
mouse:Tyrobp,mouse
mouse:U2af2,mouse
mouse:Ubtd1,mouse
mouse:Usp16,mouse
mouse:Usp50,mouse
mouse:Wapl,mouse
mouse:Wisp1,mouse
mouse:Wwc1,mouse
mouse:Ywhae,mouse
mouse:Zcchc7,mouse
mouse:Zdhhc17,mouse
mouse:Zfp943,mouse
mouse:Zyx,mouse
mouse:mt-Nd2,mouse
mouse:mt-Nd3,mouse
mouse:2410089E03Rik,mouse
mouse:4930402H24Rik,mouse
mouse:AC154200.1,mouse
mouse:AI413582,mouse
mouse:Abl1,mouse
mouse:Adamts10,mouse
mouse:Ahctf1,mouse
mouse:Anapc4,mouse
mouse:Ankrd40,mouse
mouse:Apba2,mouse
mouse:Arfgap1,mouse
mouse:Arfgef1,mouse
mouse:Ash1l,mouse
mouse:Asxl1,mouse
mouse:Canx,mouse
mouse:Ccnc,mouse
mouse:Cdc73,mouse
mouse:Cdk14,mouse
mouse:Cep120,mouse
mouse:Cep41,mouse
mouse:Cep68,mouse
mouse:Chd1,mouse
mouse:Cntnap5b,mouse
mouse:Copg2,mouse
mouse:Cpa3,mouse
mouse:Cysrt1,mouse
mouse:Dbf4,mouse
mouse:Ddx42,mouse
mouse:Dleu7,mouse
mouse:Dock7,mouse
mouse:Dusp3,mouse
mouse:E430024I08Rik,mouse
mouse:Eea1,mouse
mouse:Eif2s1,mouse
mouse:Eprs,mouse
mouse:F930017D23Rik,mouse
mouse:Fam46c,mouse
mouse:Farsb,mouse
mouse:Glis2,mouse
mouse:Gm11361,mouse
mouse:Gm45194,mouse
mouse:Gsdme,mouse
mouse:H3f3b,mouse
mouse:Hacd3,mouse
mouse:Hnrnpr,mouse
mouse:Iffo1,mouse
mouse:Ift46,mouse
mouse:Igdcc4,mouse
mouse:Incenp,mouse
mouse:Ist1,mouse
mouse:Kif23,mouse
mouse:Kpna4,mouse
mouse:Lamp2,mouse
mouse:Larp4b,mouse
mouse:Lats2,mouse
mouse:Lig1,mouse
mouse:Lman2,mouse
mouse:Lor,mouse
mouse:Lyz2,mouse
mouse:Micu3,mouse
mouse:Minos1,mouse
mouse:Mrfap1,mouse
mouse:Mrpl58,mouse
mouse:Myo9a,mouse
mouse:N4bp2,mouse
mouse:Nap1l4,mouse
mouse:Ndufb11,mouse
mouse:Nfu1,mouse
mouse:Oxct1,mouse
mouse:Park2,mouse
mouse:Pdcd2l,mouse
mouse:Pola1,mouse
mouse:Ppp4r2,mouse
mouse:Psma6,mouse
mouse:Rcan1,mouse
mouse:Reep3,mouse
mouse:Riok3,mouse
mouse:Rnf2,mouse
mouse:Rnf5,mouse
mouse:Rpf2,mouse
mouse:S100a9,mouse
mouse:Sbsn,mouse
mouse:Slc16a2,mouse
mouse:Slc25a51,mouse
mouse:Slc26a7,mouse
mouse:Slc37a2,mouse
mouse:Smim11,mouse
mouse:Srp68,mouse
mouse:Stt3b,mouse
mouse:Tbc1d16,mouse
mouse:Tbl1x,mouse
mouse:Tmem57,mouse
mouse:Tmem65,mouse
mouse:Tnfaip2,mouse
mouse:Top1,mouse
mouse:Trappc9,mouse
mouse:Tspan18,mouse
mouse:Ubxn8,mouse
mouse:Uchl3,mouse
mouse:Usp12,mouse
mouse:Xrn1,mouse
mouse:Yaf2,mouse
mouse:Zbtb37,mouse
mouse:Zfp558,mouse
mouse:mt-Nd4,mouse
mouse:mt-Nd5,mouse
mouse:AU020206,mouse
mouse:Abce1,mouse
mouse:Abhd17b,mouse
mouse:Adk,mouse
mouse:Anapc5,mouse
mouse:Apex2,mouse
mouse:Atp5k,mouse
mouse:Bbx,mouse
mouse:Bola1,mouse
mouse:Brcc3,mouse
mouse:Brd8,mouse
mouse:Bsdc1,mouse
mouse:Bub1b,mouse
mouse:Cdc34,mouse
mouse:Cers6,mouse
mouse:Cnot1,mouse
mouse:Col19a1,mouse
mouse:Creb3l2,mouse
mouse:Cul3,mouse
mouse:Dcakd,mouse
mouse:Ddx50,mouse
mouse:Dennd4c,mouse
mouse:Dkc1,mouse
mouse:Dtnbp1,mouse
mouse:Dync2h1,mouse
mouse:Dynlt1f,mouse
mouse:Emg1,mouse
mouse:Emsy,mouse
mouse:Erc1,mouse
mouse:Exoc4,mouse
mouse:Fam220a,mouse
mouse:Fam49b,mouse
mouse:Fam92a,mouse
mouse:Foxn3,mouse
mouse:Frg1,mouse
mouse:Ftl1-ps1,mouse
mouse:Fubp3,mouse
mouse:Glrx2,mouse
mouse:Gm20390,mouse
mouse:Gm26820,mouse
mouse:Gm3550,mouse
mouse:Gm37494,mouse
mouse:Gm49356,mouse
mouse:Gng13,mouse
mouse:Gpr87,mouse
mouse:Hdac1,mouse
mouse:Hexb,mouse
mouse:Hspa4,mouse
mouse:Hypk,mouse
mouse:Idh3a,mouse
mouse:Ifrd2,mouse
mouse:Jmjd8,mouse
mouse:Josd2,mouse
mouse:Kat6a,mouse
mouse:Ly6d,mouse
mouse:Mamdc4,mouse
mouse:Map2k4,mouse
mouse:Mcc,mouse
mouse:Mecp2,mouse
mouse:Med31,mouse
mouse:Mettl9,mouse
mouse:Mxd4,mouse
mouse:Myl7,mouse
mouse:Myo9b,mouse
mouse:Ncaph,mouse
mouse:Ncl,mouse
mouse:Nlrc4,mouse
mouse:Oscp1,mouse
mouse:Pklr,mouse
mouse:Plaa,mouse
mouse:Plppr1,mouse
mouse:Ppp1r21,mouse
mouse:Ppp6r3,mouse
mouse:Prpf40b,mouse
mouse:Rab11fip3,mouse
mouse:Rab22a,mouse
mouse:Rc3h2,mouse
mouse:Rdh5,mouse
mouse:Rnf111,mouse
mouse:Rnf34,mouse
mouse:Rnf4,mouse
mouse:Rnh1,mouse
mouse:Secisbp2l,mouse
mouse:Sept7,mouse
mouse:Serinc3,mouse
mouse:Serpinb1a,mouse
mouse:Serpinf2,mouse
mouse:Setd2,mouse
mouse:Skp1a,mouse
mouse:Slc25a27,mouse
mouse:Slk,mouse
mouse:Slmap,mouse
mouse:Smg1,mouse
mouse:Snrnp70,mouse
mouse:Snx14,mouse
mouse:Snx4,mouse
mouse:Snx6,mouse
mouse:Ssh2,mouse
mouse:Stam,mouse
mouse:Strip1,mouse
mouse:Sufu,mouse
mouse:Ttk,mouse
mouse:Txndc9,mouse
mouse:Ube2k,mouse
mouse:Usp40,mouse
mouse:Zcchc18,mouse
mouse:Zfp280d,mouse
mouse:Zfp647,mouse
mouse:1110008P14Rik,mouse
mouse:1600012H06Rik,mouse
mouse:1700037H04Rik,mouse
mouse:1700084F23Rik,mouse
mouse:2900026A02Rik,mouse
mouse:AI182371,mouse
mouse:Abcb7,mouse
mouse:Actr1b,mouse
mouse:Actr6,mouse
mouse:Ankrd17,mouse
mouse:Ap3d1,mouse
mouse:Arap1,mouse
mouse:Arid5b,mouse
mouse:Asprv1,mouse
mouse:Atp6v0d1,mouse
mouse:Axdnd1,mouse
mouse:Bhlhb9,mouse
mouse:Bms1,mouse
mouse:Btrc,mouse
mouse:Bves,mouse
mouse:Cacna1g,mouse
mouse:Camkk2,mouse
mouse:Capn7,mouse
mouse:Casp3,mouse
mouse:Cdc25a,mouse
mouse:Cdc5l,mouse
mouse:Clint1,mouse
mouse:Clspn,mouse
mouse:Ddhd1,mouse
mouse:Degs1,mouse
mouse:Dhx30,mouse
mouse:Dlg1,mouse
mouse:Dnaja2,mouse
mouse:Dynlt1a,mouse
mouse:E2f2,mouse
mouse:Egfl8,mouse
mouse:Eif4a3,mouse
mouse:Elp2,mouse
mouse:Eml1,mouse
mouse:Fam210a,mouse
mouse:Fam46a,mouse
mouse:Fam96b,mouse
mouse:Fbxl17,mouse
mouse:Fcho2,mouse
mouse:Fdft1,mouse
mouse:Fkbp4,mouse
mouse:Fopnl,mouse
mouse:Fpr3,mouse
mouse:Gm12184,mouse
mouse:Gm1673,mouse
mouse:Gm21972,mouse
mouse:Gm26745,mouse
mouse:Gm45774,mouse
mouse:Gm45785,mouse
mouse:Gm45881,mouse
mouse:Gnl3l,mouse
mouse:H2afj,mouse
mouse:Herc2,mouse
mouse:Hist1h1e,mouse
mouse:Hist3h2a,mouse
mouse:Ift74,mouse
mouse:Igf2os,mouse
mouse:Ikbkap,mouse
mouse:Ino80,mouse
mouse:Ipo11,mouse
mouse:Itfg1,mouse
mouse:Kdm5c,mouse
mouse:Khdrbs2,mouse
mouse:L3mbtl3,mouse
mouse:Large1,mouse
mouse:Limd1,mouse
mouse:Limk2,mouse
mouse:Lncpint,mouse
mouse:Lrp12,mouse
mouse:Lrrc58,mouse
mouse:Mad1l1,mouse
mouse:Map3k2,mouse
mouse:Mark3,mouse
mouse:Micu1,mouse
mouse:Mta1,mouse
mouse:Ncoa7,mouse
mouse:Ndrg3,mouse
mouse:Ndufa6,mouse
mouse:Nfatc2,mouse
mouse:Nfkbia,mouse
mouse:Nlgn2,mouse
mouse:Noct,mouse
mouse:Nrd1,mouse
mouse:Pdgfa,mouse
mouse:Peak1,mouse
mouse:Pelo,mouse
mouse:Phc3,mouse
mouse:Phf21a,mouse
mouse:Ppil1,mouse
mouse:Prdm5,mouse
mouse:Prdx6,mouse
mouse:Prpf39,mouse
mouse:Psmc6,mouse
mouse:Psmd1,mouse
mouse:Psmd12,mouse
mouse:Psme4,mouse
mouse:Rabgef1,mouse
mouse:Rad9a,mouse
mouse:Rassf7,mouse
mouse:Rex1bd,mouse
mouse:Rnf114,mouse
mouse:Rnf216,mouse
mouse:Rngtt,mouse
mouse:Rpp30,mouse
mouse:Rreb1,mouse
