gene,species
mouse:Pou4f3,mouse
mouse:Pou4f2,mouse
mouse:Mpc2,mouse
mouse:Mpped2,mouse
mouse:Celf5,mouse
mouse:Bsn,mouse
mouse:Sptb,mouse
mouse:Btbd3,mouse
mouse:Btg1,mouse
mouse:Trim29,mouse
mouse:Sp5,mouse
mouse:Dctn1,mouse
mouse:Sec24d,mouse
mouse:B2m,mouse
mouse:Hoxb9,mouse
mouse:Hoxc9,mouse
mouse:Tspo2,mouse
mouse:Tspo,mouse
mouse:Bzw1,mouse
mouse:Mcmbp,mouse
mouse:Cdc123,mouse
mouse:Tmem258,mouse
mouse:Rassf8,mouse
mouse:Eapp,mouse
mouse:Pagr1a,mouse
mouse:Serping1,mouse
mouse:Ildr2,mouse
mouse:Slc22a4,mouse
mouse:Cfap206,mouse
mouse:Ppdpf,mouse
mouse:C3,mouse
mouse:Abracl,mouse
mouse:Vta1,mouse
mouse:Sft2d1,mouse
mouse:Ptprz1,mouse
mouse:Cacnb3,mouse
mouse:Cacnb4,mouse
mouse:Cabp7,mouse
mouse:Caln1,mouse
mouse:Cacna1a,mouse
mouse:Cacna1b,mouse
mouse:Cacna1s,mouse
mouse:Cacng1,mouse
mouse:Cacng4,mouse
mouse:Cald1,mouse
mouse:Cdh5,mouse
mouse:Cadps,mouse
mouse:Lama2,mouse
mouse:Pdia4,mouse
mouse:Calca,mouse
mouse:Calm2,mouse
mouse:Calm1,mouse
mouse:Calm3,mouse
mouse:Calr,mouse
mouse:Calu,mouse
mouse:Chl1,mouse
mouse:Camk1d,mouse
mouse:Camk2b,mouse
mouse:Camk2d,mouse
mouse:Camk2n1,mouse
mouse:Camk2n2,mouse
mouse:Ppm1e,mouse
mouse:Camsap1,mouse
mouse:Camsap2,mouse
mouse:Camta1,mouse
mouse:Ncapd2,mouse
mouse:Capns2,mouse
mouse:Capns1,mouse
mouse:Caprin1,mouse
mouse:Tcf21,mouse
mouse:Capza1,mouse
mouse:Capza2,mouse
mouse:Carmil2,mouse
mouse:Cavin4,mouse
mouse:Cox5a,mouse
mouse:Cnr1,mouse
mouse:Lima1,mouse
mouse:Scarb1,mouse
mouse:Nmrk2,mouse
mouse:Mcm4,mouse
mouse:Smox,mouse
mouse:Pkm,mouse
mouse:Mmp13,mouse
mouse:Cpn1,mouse
mouse:Fhl1,mouse
mouse:Rabl6,mouse
mouse:Ivns1abp,mouse
mouse:Hadha,mouse
mouse:Tpx2,mouse
mouse:Cebpa,mouse
mouse:Blvrb,mouse
mouse:Fos,mouse
mouse:Gsn,mouse
mouse:Pdzk1,mouse
mouse:Id1,mouse
mouse:Trim33,mouse
mouse:Ip6k2,mouse
mouse:Rrm2,mouse
mouse:Krt15,mouse
mouse:Krt14,mouse
mouse:Krt17,mouse
mouse:Krt13,mouse
mouse:Krt19,mouse
mouse:Slc38a2,mouse
mouse:Cgn,mouse
mouse:Pabpc4,mouse
mouse:Klf2,mouse
mouse:Snu13,mouse
mouse:Hes1,mouse
mouse:Atp1b1,mouse
mouse:Ccng1,mouse
mouse:Clic4,mouse
mouse:Snai2,mouse
mouse:Hspb1,mouse
mouse:Ddx18,mouse
mouse:Pcna,mouse
mouse:Ccnd1,mouse
mouse:Ppm1g,mouse
mouse:Tpi1,mouse
mouse:Ppl,mouse
mouse:Krt1,mouse
mouse:Krt4,mouse
mouse:Krt7,mouse
mouse:Krt8,mouse
mouse:Ptgds,mouse
mouse:Yap1,mouse
mouse:Glul,mouse
mouse:Zfp36l1,mouse
mouse:Myh8,mouse
mouse:Prc1,mouse
mouse:Ktn1,mouse
mouse:Serpinh1,mouse
mouse:Phc2,mouse
mouse:Col27a1,mouse
mouse:Tagln2,mouse
mouse:Meis1,mouse
mouse:Slc25a22,mouse
mouse:Fgfr1,mouse
mouse:Sox2,mouse
mouse:Sox11,mouse
mouse:Angptl6,mouse
mouse:Jag1,mouse
mouse:Ell2,mouse
mouse:Epha4,mouse
mouse:Sestd1,mouse
mouse:Neurog1,mouse
mouse:Sesn3,mouse
mouse:Kdm5b,mouse
mouse:Ccnb1,mouse
mouse:Sec13,mouse
mouse:Mbp,mouse
mouse:Vim,mouse
mouse:Pax6,mouse
mouse:Copa,mouse
mouse:Tram1,mouse
mouse:Selenof,mouse
mouse:Des,mouse
mouse:Frzb,mouse
mouse:Npc2,mouse
mouse:Paics,mouse
mouse:Cnmd,mouse
mouse:Egfl6,mouse
mouse:Bcas2,mouse
mouse:Mki67,mouse
mouse:Gap43,mouse
mouse:Id2,mouse
mouse:Tnnt2,mouse
mouse:Prrx1,mouse
mouse:Cxadr,mouse
mouse:Hoxa3,mouse
mouse:Neo1,mouse
mouse:Col9a1,mouse
mouse:Col9a2,mouse
mouse:Cercam,mouse
mouse:Six3,mouse
mouse:Sec31a,mouse
mouse:Uchl1,mouse
mouse:Pigq,mouse
mouse:Mybph,mouse
mouse:Rrbp1,mouse
mouse:Col9a3,mouse
mouse:Col18a1,mouse
mouse:Cdca8,mouse
mouse:Fibin,mouse
mouse:Colec12,mouse
mouse:Pax2,mouse
mouse:Cebpb,mouse
mouse:Tomm22,mouse
mouse:Col14a1,mouse
mouse:Fzd2,mouse
mouse:Mmp14,mouse
mouse:Unc45b,mouse
mouse:St8sia2,mouse
mouse:Rrm1,mouse
mouse:Pmel,mouse
mouse:Tenm3,mouse
mouse:Sccpdh,mouse
mouse:Mad2l1,mouse
mouse:Sec61a1,mouse
mouse:Nav3,mouse
mouse:Pak2,mouse
mouse:Crabp2,mouse
mouse:Msx1,mouse
mouse:Ccng2,mouse
mouse:Tnnt3,mouse
mouse:Sdc2,mouse
mouse:Arf5,mouse
mouse:Jph2,mouse
mouse:Epb41l3,mouse
mouse:Crabp1,mouse
mouse:Ywhag,mouse
mouse:Arpp21,mouse
mouse:Ypel3,mouse
mouse:Smoc2,mouse
mouse:Col15a1,mouse
mouse:Cluh,mouse
mouse:Tacc3,mouse
mouse:Cdon,mouse
mouse:Ckm,mouse
mouse:Spry4,mouse
mouse:Ptma,mouse
mouse:Ets1,mouse
mouse:Mdk,mouse
mouse:Klhl41,mouse
mouse:Lmo1,mouse
mouse:Plk1,mouse
mouse:Cpox,mouse
mouse:Tgfbr2,mouse
mouse:Id4,mouse
mouse:Gata3,mouse
mouse:Myog,mouse
mouse:Gpx4,mouse
mouse:Ezr,mouse
mouse:Dclk2,mouse
mouse:Marcksl1,mouse
mouse:Prdx2,mouse
mouse:Npm3,mouse
mouse:Ahcyl1,mouse
mouse:Hdlbp,mouse
mouse:Dhfr,mouse
mouse:Sipa1l1,mouse
mouse:Gata6,mouse
mouse:Glud1,mouse
mouse:Gata5,mouse
mouse:Impdh2,mouse
mouse:Myf5,mouse
mouse:Dlgap5,mouse
mouse:Igfbp1,mouse
mouse:Higd1a,mouse
mouse:Dmd,mouse
mouse:Ccna2,mouse
mouse:Tpm3,mouse
mouse:Msi1,mouse
mouse:Selenop,mouse
mouse:Gpx1,mouse
mouse:Selenom,mouse
mouse:Selenow,mouse
mouse:Mien1,mouse
mouse:Selenoh,mouse
mouse:Sephs2,mouse
mouse:Nap1l1,mouse
mouse:Prdx3,mouse
mouse:Foxi1,mouse
mouse:Rab14,mouse
mouse:Ucp2,mouse
mouse:Hspa9,mouse
mouse:Dynll2,mouse
mouse:Msi2,mouse
mouse:Rab2a,mouse
mouse:Ssr1,mouse
mouse:Psap,mouse
mouse:Gstm5,mouse
mouse:Pak1,mouse
mouse:Rab13,mouse
mouse:Kdelr2,mouse
mouse:Ndrg1,mouse
mouse:Smc4,mouse
mouse:Csrp1,mouse
mouse:Jup,mouse
mouse:Mcm6,mouse
mouse:Zic3,mouse
mouse:Krt18,mouse
mouse:Tpm2,mouse
mouse:Mpzl2,mouse
mouse:Zic2,mouse
mouse:Dstn,mouse
mouse:Hspd1,mouse
mouse:Ppib,mouse
mouse:Arpc1b,mouse
mouse:Lhx8,mouse
mouse:Idh1,mouse
mouse:Pah,mouse
mouse:Fen1,mouse
mouse:Eno3,mouse
mouse:Fabp3,mouse
mouse:Sall1,mouse
mouse:Celf2,mouse
mouse:Anp32b,mouse
mouse:Ctsc,mouse
mouse:Tuba1b,mouse
mouse:Tuba1c,mouse
mouse:Lmna,mouse
mouse:Lamb1,mouse
mouse:Dmxl2,mouse
mouse:Cyp11a1,mouse
mouse:Stmn1,mouse
mouse:Ddx21,mouse
mouse:Apc,mouse
mouse:Flnb,mouse
mouse:Otp,mouse
mouse:Mpp1,mouse
mouse:Cbx1,mouse
mouse:Cbx3,mouse
mouse:Cfap36,mouse
mouse:Mcu,mouse
mouse:Svbp,mouse
mouse:Ccdc3,mouse
mouse:Cfap100,mouse
mouse:Ccdc50,mouse
mouse:Coa3,mouse
mouse:Tma7,mouse
mouse:Cck,mouse
mouse:Ccnd2,mouse
mouse:Ccne1,mouse
mouse:Agbl4,mouse
mouse:Tcp1,mouse
mouse:Cd63,mouse
mouse:Cd36,mouse
mouse:Pecam1,mouse
mouse:Scarb2,mouse
mouse:Itga2b,mouse
mouse:Cd44,mouse
mouse:Tfrc,mouse
mouse:Cd81,mouse
mouse:Cdk1,mouse
mouse:Cdc42,mouse
mouse:Cdc42ep4,mouse
mouse:Vcp,mouse
mouse:Cdca7,mouse
mouse:Cdh9,mouse
mouse:Cdh12,mouse
mouse:Cdh18,mouse
mouse:Cdh11,mouse
mouse:Cdk5r1,mouse
mouse:Cdk5r2,mouse
mouse:Cebpg,mouse
mouse:Tmem121b,mouse
mouse:Celf3,mouse
mouse:Cnbp,mouse
mouse:Celsr2,mouse
mouse:Cep170b,mouse
mouse:Cp,mouse
mouse:Thra,mouse
mouse:F13b,mouse
mouse:Cfl1,mouse
mouse:Rflna,mouse
mouse:Mib1,mouse
mouse:Epb41,mouse
mouse:Synpo2l,mouse
mouse:Cct2,mouse
mouse:Cct3,mouse
mouse:Cct7,mouse
mouse:Churc1,mouse
mouse:Chchd2,mouse
mouse:Chchd3,mouse
mouse:Chmp2b,mouse
mouse:Chmp5,mouse
mouse:Meox1,mouse
mouse:Chrna4,mouse
mouse:Chrnb2,mouse
mouse:Nid2,mouse
mouse:Smo,mouse
mouse:Rpl35,mouse
mouse:Smarca5,mouse
mouse:Snrpd1,mouse
mouse:Atp6v1h,mouse
mouse:Csnk1a1,mouse
mouse:Sf3b4,mouse
mouse:Rpl24,mouse
mouse:Snrpc,mouse
mouse:Mcm7,mouse
mouse:Ncbp2,mouse
mouse:Gpc4,mouse
mouse:Odc1,mouse
mouse:Slc25a5,mouse
mouse:Rps5,mouse
mouse:Slit1,mouse
mouse:Cic,mouse
mouse:Igf2r,mouse
mouse:Cdkn1a,mouse
mouse:Rbm3,mouse
mouse:Cirbp,mouse
mouse:Jun,mouse
mouse:Csnk2a1,mouse
mouse:Csnk2b,mouse
mouse:Tbcb,mouse
mouse:Krt5,mouse
mouse:Ckmt2,mouse
mouse:Cldn6,mouse
mouse:Clcn5,mouse
mouse:Cldn11,mouse
mouse:Cldn8,mouse
mouse:Cldn1,mouse
mouse:Cldn5,mouse
mouse:Cldn3,mouse
mouse:Cstf3,mouse
mouse:Clic5,mouse
mouse:Clic3,mouse
mouse:Txndc17,mouse
mouse:Sox10,mouse
mouse:Maf,mouse
mouse:Cmas,mouse
mouse:Xirp1,mouse
mouse:Cmya5,mouse
mouse:Cnn3,mouse
mouse:Cnot6,mouse
mouse:Cnrip1,mouse
mouse:Cntn1,mouse
mouse:Cntnap2,mouse
mouse:Cntnap4,mouse
mouse:Ebf2,mouse
mouse:Col5a3,mouse
mouse:Col11a1,mouse
mouse:Col12a1,mouse
mouse:Col17a1,mouse
mouse:Col2a1,mouse
mouse:Col5a2,mouse
mouse:Col6a6,mouse
mouse:Col7a1,mouse
mouse:Col8a1,mouse
mouse:Col22a1,mouse
mouse:Colgalt1,mouse
mouse:Coro2b,mouse
mouse:Nr2f1,mouse
mouse:Nr2f2,mouse
mouse:Cox4i1,mouse
mouse:Cox5b,mouse
mouse:Cox7a2,mouse
mouse:Cox7a2l,mouse
mouse:Cox8a,mouse
mouse:Cpeb4,mouse
mouse:Nrn1,mouse
mouse:Ptges3,mouse
mouse:Ppp1r14a,mouse
mouse:Cplx2,mouse
mouse:Cpne1,mouse
mouse:Cpne4,mouse
mouse:Nudt21,mouse
mouse:Cps1,mouse
mouse:Fam131b,mouse
mouse:Rbp2,mouse
mouse:Creb3l3,mouse
mouse:Creb5,mouse
mouse:Ret,mouse
mouse:Crispld1,mouse
mouse:Crmp1,mouse
mouse:Dpysl2,mouse
mouse:Dpysl4,mouse
mouse:Dpysl3,mouse
mouse:Dpysl5,mouse
mouse:Hapln1,mouse
mouse:Sec23a,mouse
mouse:Cryab,mouse
mouse:Csmd1,mouse
mouse:Vcan,mouse
mouse:Ncan,mouse
mouse:Cspg5,mouse
mouse:Smc3,mouse
mouse:Casq1,mouse
mouse:Csrp3,mouse
mouse:Cstb,mouse
mouse:Ctbp1,mouse
mouse:Ctbp2,mouse
mouse:Tnnc1,mouse
mouse:Ctnnb1,mouse
mouse:Ctnnd2,mouse
mouse:Ctsb,mouse
mouse:Ctse,mouse
mouse:Cttnbp2nl,mouse
mouse:Cenpw,mouse
mouse:Cux2,mouse
mouse:Sod1,mouse
mouse:Gjb1,mouse
mouse:Gjb2,mouse
mouse:Gjb6,mouse
mouse:Gja1,mouse
mouse:Gjd4,mouse
mouse:Gjc1,mouse
mouse:Cxcl12,mouse
mouse:Ppbp,mouse
mouse:Pf4,mouse
mouse:Cycs,mouse
mouse:Ppia,mouse
mouse:Ldb3,mouse
mouse:Tmem183a,mouse
mouse:Chst14,mouse
mouse:Daam1,mouse
mouse:Dab1,mouse
mouse:Dach1,mouse
mouse:Dag1,mouse
mouse:Nbl1,mouse
mouse:Dap,mouse
mouse:Dact1,mouse
mouse:Eef1g,mouse
mouse:Hsd17b4,mouse
mouse:Gc,mouse
mouse:Dcn,mouse
mouse:Dclk1,mouse
mouse:Dchs1,mouse
mouse:Ddx3x,mouse
mouse:Notch1,mouse
mouse:Trp63,mouse
mouse:Deptor,mouse
mouse:Twist2,mouse
mouse:Hand2,mouse
mouse:Dhrs7c,mouse
mouse:Dkk3,mouse
mouse:Scn7a,mouse
mouse:Scn2a,mouse
mouse:Scn3a,mouse
mouse:Scn9a,mouse
mouse:Cacnb1,mouse
mouse:Diras1,mouse
mouse:Park7,mouse
mouse:Ncoa1,mouse
mouse:Dlg4,mouse
mouse:Dlgap4,mouse
mouse:Dlx1,mouse
mouse:Dlx2,mouse
mouse:Dlx3,mouse
mouse:Dlx5,mouse
mouse:Dlx6,mouse
mouse:Plp1,mouse
