run_id,k_intra,k_inter,cutoff_intra,cutoff_inter,resolution,mean_seed_ari,min_seed_ari,mean_active_seed_ari,min_active_seed_ari,n_edges,n_components,largest_component_frac,n_modules,largest_module_frac,singleton_gene_frac,cross_weight_frac,mixed_module_frac,human_isolated_frac,human_cross_coverage,human_median_degree,human_p95_degree,human_median_cross_strength_frac,mouse_isolated_frac,mouse_cross_coverage,mouse_median_degree,mouse_p95_degree,mouse_median_cross_strength_frac
22,25,50,0.9,0.7,0.5,0.8694630298818025,0.7808996251077426,0.8679422083007928,0.7783460403061833,751760,513,0.9588395405961628,527,0.19504746730398992,0.030737568877381664,0.6176365839696109,0.020872865275142316,0.043510324483775814,0.8441002949852507,84.0,326.0,0.5310787837054187,0.02028250633828323,0.8838585053724496,87.0,224.0,0.53013439586865
22,25,50,0.9,0.7,1.0,0.7207830432144479,0.6366313821378041,0.7189061981615741,0.6340695874139043,751760,513,0.9588395405961628,535,0.15143065790347207,0.030737568877381664,0.6176365839696109,0.026168224299065422,0.043510324483775814,0.8441002949852507,84.0,326.0,0.5310787837054187,0.02028250633828323,0.8838585053724496,87.0,224.0,0.53013439586865
22,25,50,0.9,0.7,1.5,0.7390734385570769,0.6748953251848793,0.7378093016409047,0.6733685775338517,751760,513,0.9588395405961628,538,0.11146517957910111,0.030737568877381664,0.6176365839696109,0.03345724907063197,0.043510324483775814,0.8441002949852507,84.0,326.0,0.5310787837054187,0.02028250633828323,0.8838585053724496,87.0,224.0,0.53013439586865
31,50,10,0.9,0.7,0.5,0.8203671327477297,0.6946601850296332,0.8186070992848435,0.6916316341333396,587812,513,0.9588395405961628,528,0.19458275243975304,0.030737568877381664,0.16964394826560714,0.020833333333333332,0.043510324483775814,0.8441002949852507,75.0,149.04999999999927,0.10742173347278425,0.02028250633828323,0.8838585053724496,79.0,138.0,0.10670863714299056
31,50,10,0.9,0.7,1.0,0.7186563695951917,0.659014848939444,0.7171277606686612,0.6571714751423351,587812,513,0.9588395405961628,537,0.11644426741021045,0.030737568877381664,0.16964394826560714,0.0297951582867784,0.043510324483775814,0.8441002949852507,75.0,149.04999999999927,0.10742173347278425,0.02028250633828323,0.8838585053724496,79.0,138.0,0.10670863714299056
31,50,10,0.9,0.7,1.5,0.7423090245495974,0.6949348367098787,0.7412404497730425,0.6937068489221473,587812,513,0.9588395405961628,540,0.09486822014206997,0.030737568877381664,0.16964394826560714,0.03333333333333333,0.043510324483775814,0.8441002949852507,75.0,149.04999999999927,0.10742173347278425,0.02028250633828323,0.8838585053724496,79.0,138.0,0.10670863714299056
40,50,25,0.9,0.7,0.5,0.8867995408087881,0.7708970924325801,0.8855411720240847,0.76842281126053,742692,513,0.9588395405961628,527,0.21436632808869416,0.030737568877381664,0.32003039875085576,0.020872865275142316,0.043510324483775814,0.8441002949852507,91.0,234.04999999999927,0.23004766563791426,0.02028250633828323,0.8838585053724496,95.0,177.0,0.22829786162967203
40,50,25,0.9,0.7,1.0,0.742513475106087,0.6606221234035435,0.7408953583058185,0.6585100420146416,742692,513,0.9588395405961628,536,0.13722366062537344,0.030737568877381664,0.32003039875085576,0.03171641791044776,0.043510324483775814,0.8441002949852507,91.0,234.04999999999927,0.23004766563791426,0.02028250633828323,0.8838585053724496,95.0,177.0,0.22829786162967203
40,50,25,0.9,0.7,1.5,0.7095883263213898,0.6346999061587837,0.7083282746992448,0.6330921887384751,742692,513,0.9588395405961628,540,0.11471818362875921,0.030737568877381664,0.32003039875085576,0.03518518518518519,0.043510324483775814,0.8441002949852507,91.0,234.04999999999927,0.23004766563791426,0.02028250633828323,0.8838585053724496,95.0,177.0,0.22829786162967203
46,50,50,0.85,0.7,0.5,0.844794037011307,0.7826929201333518,0.8440253438203464,0.7816125033539516,1011240,211,0.982938325698732,224,0.20029210648609175,0.01254730133439554,0.44484172009894485,0.03571428571428571,0.01902654867256637,0.8441002949852507,119.0,364.0,0.3540554587241117,0.007243752263672582,0.8838585053724496,122.0,263.0,0.3585976953947023
